ticker,ERIXITSE Index,ERIXITSE Index,ERIXCDIG Index,ERIXCDIG Index,IBOXHYSE CBBT Curncy,ERINCDHY Index,ERINCDHY Index,ITRXEBE CBBT Curncy,VIX Index,VIX Index,ERIXITEU Index,ERIXITEU Index,ITRXEXE CBBT Curncy,SX5E Index,SX5E Index,ERIXITXO Index,ERIXITXO Index,IEF Equity,IEF Equity,ITRXESE CBBT Curncy,AGG Equity,AGG Equity,HYG Equity,HYG Equity,SPX Index,SPX Index,LQD Equity,LQD Equity,TYVIX Index,TYVIX Index,TY1 Comdty,SPJGBV Index,SPJGBV Index,JB1 Comdty,SRVIX Index,SRVIX Index,IBOXUMAE CBBT Curncy
field,PX_LAST,TOT_RETURN_INDEX_GROSS_DVDS,PX_LAST,TOT_RETURN_INDEX_GROSS_DVDS,PX_LAST,PX_LAST,TOT_RETURN_INDEX_GROSS_DVDS,PX_LAST,PX_LAST,TOT_RETURN_INDEX_GROSS_DVDS,PX_LAST,TOT_RETURN_INDEX_GROSS_DVDS,PX_LAST,PX_LAST,TOT_RETURN_INDEX_GROSS_DVDS,PX_LAST,TOT_RETURN_INDEX_GROSS_DVDS,PX_LAST,TOT_RETURN_INDEX_GROSS_DVDS,PX_LAST,PX_LAST,TOT_RETURN_INDEX_GROSS_DVDS,PX_LAST,TOT_RETURN_INDEX_GROSS_DVDS,PX_LAST,TOT_RETURN_INDEX_GROSS_DVDS,PX_LAST,TOT_RETURN_INDEX_GROSS_DVDS,PX_LAST,TOT_RETURN_INDEX_GROSS_DVDS,PX_LAST,PX_LAST,TOT_RETURN_INDEX_GROSS_DVDS,PX_LAST,PX_LAST,TOT_RETURN_INDEX_GROSS_DVDS,PX_LAST
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986-01-02,,,,,,,,,,,,,,,,,,,,,,,,,209.59,209.59,,,,,92.6875,,,,,,
1986-01-03,,,,,,,,,,,,,,,,,,,,,,,,,210.88,210.88,,,,,92.6875,,,,,,
1986-01-06,,,,,,,,,,,,,,,,,,,,,,,,,210.65,210.65,,,,,92.59375,,,99.91,,,
1986-01-07,,,,,,,,,,,,,,,,,,,,,,,,,213.8,213.8,,,,,93.4375,,,99.66,,,
1986-01-08,,,,,,,,,,,,,,,,,,,,,,,,,207.97,207.97,,,,,92.25,,,100.25,,,
1986-01-09,,,,,,,,,,,,,,,,,,,,,,,,,206.11,206.11,,,,,91.59375,,,99.55,,,
1986-01-10,,,,,,,,,,,,,,,,,,,,,,,,,205.96,205.96,,,,,91.1875,,,98.55,,,
1986-01-13,,,,,,,,,,,,,,,,,,,,,,,,,206.72,206.72,,,,,90.0625,,,98.45,,,
1986-01-14,,,,,,,,,,,,,,,,,,,,,,,,,206.64,206.64,,,,,90.6875,,,98.78,,,
1986-01-15,,,,,,,,,,,,,,,,,,,,,,,,,208.26,208.26,,,,,91.3125,,,,,,
