Date,PX_LAST,TOT_RETURN_INDEX_GROSS_DVDS
7/9/19,86.72,198.5507
7/8/19,86.82,198.7796
7/5/19,86.99,199.1688
7/3/19,87.34,199.9702
7/2/19,87.01,199.2146
7/1/19,86.82,198.7796
6/28/19,87.18,198.7207
6/27/19,87.15,198.6524
6/26/19,86.91,198.1053
6/25/19,86.95,198.1965
6/24/19,87.32,199.0399
6/21/19,87.33,199.0627
6/20/19,87.61,199.7009
6/19/19,87.17,198.6979
6/18/19,86.76,197.7634
6/17/19,86.16,196.3957
6/14/19,86.29,196.692
6/13/19,86.35,196.8288
6/12/19,86.15,196.3729
6/11/19,86.35,196.8288
6/10/19,86.23,196.5553
6/7/19,86.1,196.259
6/6/19,85.88,195.7575
6/5/19,85.7,195.3472
6/4/19,85.5,194.8913
6/3/19,84.65,192.9538
5/31/19,84.9,192.6454
5/30/19,85.52,194.0522
5/29/19,85.34,193.6438
5/28/19,85.57,194.1657
5/24/19,85.65,194.3472
5/23/19,85.77,194.6195
5/22/19,86.2,195.5952
5/21/19,86.13,195.4363
5/20/19,85.86,194.8237
5/17/19,85.94,195.0052
5/16/19,85.97,195.0733
5/15/19,85.71,194.4833
5/14/19,85.63,194.3018
5/13/19,85.44,193.8707
5/10/19,86.23,195.6632
5/9/19,85.99,195.1187
5/8/19,86.12,195.4137
5/7/19,86.09,195.3456
5/6/19,86.61,196.5255
5/3/19,86.57,196.4347
5/2/19,86.35,195.9355
5/1/19,86.29,195.7994
4/30/19,86.94,196.4402
4/29/19,86.93,196.4176
4/26/19,86.97,196.508
4/25/19,86.75,196.0109
4/24/19,86.71,195.9205
4/23/19,86.83,196.1917
4/22/19,86.53,195.5138
4/18/19,86.68,195.8528
4/17/19,86.64,195.7624
4/16/19,86.85,196.2369
4/15/19,86.9,196.3498
4/12/19,86.96,196.4854
4/11/19,86.83,196.1917
4/10/19,86.7,195.8979
4/9/19,86.32,195.0393
4/8/19,86.38,195.1749
4/5/19,86.43,195.2879
4/4/19,86.27,194.9264
4/3/19,86.14,194.6326
4/2/19,86.11,194.5648
4/1/19,86.07,194.4745
3/29/19,86.47,194.5224
3/28/19,86.25,194.0275
3/27/19,86.08,193.645
3/26/19,86.02,193.5101
3/25/19,85.81,193.0376
3/22/19,85.84,193.1051
3/21/19,86.15,193.8025
3/20/19,86.17,193.8475
3/19/19,85.8,193.0151
3/18/19,85.75,192.9027
3/15/19,85.78,192.9701
3/14/19,85.7,192.7902
3/13/19,85.76,192.9252
3/12/19,85.53,192.4077
3/11/19,85.38,192.0703
3/8/19,85.1,191.4404
3/7/19,85.24,191.7554
3/6/19,85.3,191.8903
3/5/19,85.44,192.2053
3/4/19,85.48,192.2953
3/1/19,85.61,192.5877
2/28/19,85.75,192.0463
2/27/19,85.8,192.1582
2/26/19,85.77,192.0911
2/25/19,85.66,191.8447
2/22/19,85.59,191.6879
2/21/19,85.42,191.3072
2/20/19,85.5,191.4864
2/19/19,85.43,191.3296
2/15/19,85.4,191.2624
2/14/19,85.13,190.6577
2/13/19,85.12,190.6353
2/12/19,85.24,190.9041
2/11/19,84.83,189.9858
2/8/19,84.79,189.8962
2/7/19,84.81,189.941
2/6/19,85.1,190.5905
2/5/19,85.18,190.7697
2/4/19,84.88,190.0978
2/1/19,84.68,189.6499
1/31/19,85.11,189.7422
1/30/19,84.9,189.274
1/29/19,84.23,187.7803
1/28/19,84.28,187.8918
1/25/19,84.41,188.1816
1/24/19,84.2,187.7135
1/23/19,84.11,187.5128
1/22/19,83.94,187.1338
1/18/19,84.5,188.3823
1/17/19,84.26,187.8472
1/16/19,84.03,187.3345
1/15/19,83.9,187.0446
1/14/19,83.62,186.4204
1/11/19,83.89,187.0223
1/10/19,84.16,187.6243
1/9/19,83.83,186.8886
1/8/19,83.73,186.6656
1/7/19,83.19,185.4618
1/4/19,82.39,183.6783
1/3/19,81.03,180.6463
1/2/19,80.99,180.5572
12/31/18,81.1,180.8024
12/28/18,81.04,180.6686
12/27/18,80.92,180.4011
12/26/18,80.97,180.5126
12/24/18,79.63,177.5252
12/21/18,80.23,178.8628
12/20/18,80.63,179.7546
12/19/18,81.34,181.3374
12/18/18,82.08,182.9872
12/17/18,82.62,183.3177
12/14/18,83.16,184.5158
12/13/18,83.51,185.2924
12/12/18,83.31,184.8486
12/11/18,83.04,184.2496
12/10/18,82.89,183.9167
12/7/18,82.83,183.7836
12/6/18,82.99,184.1386
12/4/18,83.28,184.7821
12/3/18,83.8,185.9359
11/30/18,83.6,184.6627
11/29/18,83.77,185.0382
11/28/18,83.75,184.994
11/27/18,83.06,183.4699
11/26/18,83.1,183.5582
11/23/18,82.71,182.6968
11/21/18,83.17,183.7129
11/20/18,82.75,182.7851
11/19/18,83.01,183.3594
11/16/18,83.27,183.9338
11/15/18,83.52,184.486
11/14/18,83.54,184.5301
11/13/18,83.7,184.8836
11/12/18,83.84,185.1928
11/9/18,84.36,186.3414
11/8/18,84.84,187.4017
11/7/18,85.05,187.8656
11/6/18,84.56,186.7832
11/5/18,84.34,186.2973
11/2/18,84.27,186.1426
11/1/18,84.32,186.2531
10/31/18,84.35,185.4068
10/30/18,84.35,185.4068
10/29/18,84.15,184.9672
10/26/18,84.23,185.143
10/25/18,84.61,185.9783
10/24/18,84.44,185.6046
10/23/18,84.86,186.5278
10/22/18,84.94,186.7036
10/19/18,84.9,186.6157
10/18/18,84.85,186.5058
10/17/18,85.21,187.2971
10/16/18,85.38,187.6708
10/15/18,85.09,187.0334
10/12/18,85.15,187.1652
10/11/18,84.7,186.1761
10/10/18,84.63,186.0222
10/9/18,85.24,187.3631
10/8/18,85.11,187.0773
10/5/18,85.3,187.495
10/4/18,85.68,188.3302
10/3/18,86,189.0336
10/2/18,86.23,189.5392
10/1/18,86.3,189.693
9/28/18,86.44,189.1479
9/27/18,86.38,189.0166
9/26/18,86.22,188.6665
9/25/18,86.13,188.4695
9/24/18,86.2,188.6227
9/21/18,86.24,188.7102
9/20/18,86.22,188.6665
9/19/18,86.1,188.4039
9/18/18,86.26,188.754
9/17/18,86.27,188.7759
9/14/18,86.33,188.9072
9/13/18,86.25,188.7321
9/12/18,86.09,188.382
9/11/18,85.89,187.9444
9/10/18,85.87,187.9006
9/7/18,85.7,187.5286
9/6/18,85.79,187.7255
9/5/18,85.72,187.5724
9/4/18,85.81,187.7693
8/31/18,86.36,188.1584
8/30/18,86.25,187.9188
8/29/18,86.32,188.0713
8/28/18,86.37,188.1802
8/27/18,86.41,188.2674
8/24/18,86.38,188.202
8/23/18,86.23,187.8752
8/22/18,86.24,187.897
8/21/18,86.21,187.8316
8/20/18,86.08,187.5484
8/17/18,86.04,187.4612
8/16/18,85.94,187.2434
8/15/18,85.83,187.0037
8/14/18,85.98,187.3305
8/13/18,85.83,187.0037
8/10/18,85.89,187.1344
8/9/18,86.04,187.4612
8/8/18,86.1,187.592
8/7/18,86.15,187.7009
8/6/18,86.11,187.6138
8/3/18,85.95,187.2652
8/2/18,85.88,187.1126
8/1/18,85.83,187.0037
7/31/18,86.12,186.8371
7/30/18,85.94,186.4466
7/27/18,85.91,186.3815
