Date,PX_LAST,TOT_RETURN_INDEX_GROSS_DVDS
7/9/19,109.41,181.2407
7/8/19,109.48,181.3566
7/5/19,109.59,181.5388
7/3/19,110.29,182.6984
7/2/19,110.08,182.3505
7/1/19,109.69,181.7045
6/28/19,110.02,181.9322
6/27/19,109.97,181.8495
6/26/19,109.64,181.3038
6/25/19,110.09,182.048
6/24/19,109.92,181.7668
6/21/19,109.54,181.1385
6/20/19,109.99,181.8826
6/19/19,109.81,181.5849
6/18/19,109.51,181.0889
6/17/19,109.3,180.7416
6/14/19,109.32,180.7747
6/13/19,109.24,180.6424
6/12/19,108.97,180.1959
6/11/19,108.685,179.7246
6/10/19,108.685,179.7246
6/7/19,109.23,180.6258
6/6/19,108.8,179.9148
6/5/19,108.82,179.9478
6/4/19,108.82,179.9478
6/3/19,109.22,180.6093
5/31/19,108.91,179.7469
5/30/19,108.19,178.5586
5/29/19,107.8,177.915
5/28/19,107.84,177.981
5/24/19,107.37,177.2053
5/23/19,107.4,177.2548
5/22/19,106.75,176.182
5/21/19,106.43,175.6539
5/20/19,106.55,175.8519
5/17/19,106.73,176.149
5/16/19,106.68,176.0665
5/15/19,106.89,176.4131
5/14/19,106.55,175.8519
5/13/19,106.65,176.017
5/10/19,106.12,175.1423
5/9/19,106.19,175.2578
5/8/19,105.91,174.7957
5/7/19,106.11,175.1258
5/6/19,105.75,174.5316
5/3/19,105.48,174.086
5/2/19,105.34,173.8549
5/1/19,105.64,174.3501
4/30/19,105.9,174.4299
4/29/19,105.69,174.084
4/26/19,105.91,174.4464
4/25/19,105.63,173.9852
4/24/19,105.76,174.1993
4/23/19,105.36,173.5405
4/22/19,105.17,173.2275
4/18/19,105.32,173.4746
4/17/19,105.07,173.0628
4/16/19,105.05,173.0299
4/15/19,105.41,173.6228
4/12/19,105.27,173.3922
4/11/19,105.76,174.1993
4/10/19,106,174.5946
4/9/19,105.75,174.1829
4/8/19,105.56,173.8699
4/5/19,105.73,174.1499
4/4/19,105.68,174.0676
