Date,PX_LAST,TOT_RETURN_INDEX_GROSS_DVDS
7/9/19,123.4,258.44009
7/8/19,123.66,258.98461
7/5/19,123.83,259.34065
7/3/19,124.93,261.64441
7/2/19,124.59,260.93234
7/1/19,124.25,260.22026
6/28/19,124.37,259.73053
6/27/19,124.05,259.06225
6/26/19,123.33,257.55863
6/25/19,123.58,258.08072
6/24/19,123.95,258.85341
6/21/19,123.64,258.20602
6/20/19,124.09,259.14579
6/19/19,123.42,257.74658
6/18/19,122.64,256.11765
6/17/19,121.83,254.42607
6/14/19,121.77,254.30077
6/13/19,121.72,254.19635
6/12/19,121.41,253.54896
6/11/19,121.23,253.17305
6/10/19,121.12,252.94333
6/7/19,121.56,253.86221
6/6/19,121.02,252.73449
6/5/19,120.79,252.25417
6/4/19,120.87,252.42124
6/3/19,120.83,252.3377
5/31/19,120.83,251.56575
5/30/19,120.55,250.98279
5/29/19,119.86,249.54622
5/28/19,119.81,249.44213
5/24/19,119.73,249.27557
5/23/19,119.48,248.75507
5/22/19,119.22,248.21376
5/21/19,119.07,247.90146
5/20/19,118.97,247.69326
5/17/19,119.25,248.27622
5/16/19,119.24,248.2554
5/15/19,119.43,248.65097
5/14/19,119.1,247.96392
5/13/19,118.93,247.60998
5/10/19,118.86,247.46424
5/9/19,118.79,247.31851
5/8/19,118.68,247.08949
5/7/19,119.08,247.92228
5/6/19,119.09,247.9431
5/3/19,118.93,247.60998
5/2/19,118.4,246.50653
5/1/19,118.83,247.40178
4/30/19,119.22,247.48144
4/29/19,119.17,247.37765
4/26/19,119.64,248.35329
4/25/19,119.22,247.48144
4/24/19,119.28,247.60599
4/23/19,118.88,246.77566
4/22/19,118.39,245.75849
4/18/19,118.58,246.1529
4/17/19,118.48,245.94532
4/16/19,118.5,245.98684
4/15/19,118.83,246.67186
4/12/19,119.02,247.06627
4/11/19,119.09,247.21158
4/10/19,119.21,247.46068
4/9/19,118.63,246.2567
4/8/19,118.38,245.73774
4/5/19,118.55,246.09063
4/4/19,118.36,245.69622
4/3/19,118.17,245.30181
4/2/19,118.42,245.82077
4/1/19,118.26,245.48864
3/29/19,119.06,246.40348
3/28/19,119.15,246.58974
3/27/19,119,246.27931
3/26/19,118.84,245.94818
3/25/19,118.79,245.8447
3/22/19,118.55,245.348
3/21/19,117.83,243.85791
3/20/19,117.61,243.4026
3/19/19,116.82,241.76764
3/18/19,116.8,241.72625
3/15/19,116.86,241.85042
3/14/19,116.44,240.9812
3/13/19,116.67,241.4572
3/12/19,116.86,241.85042
3/11/19,116.54,241.18816
3/8/19,116.41,240.91911
3/7/19,116.26,240.60868
3/6/19,115.88,239.82224
3/5/19,115.77,239.59458
3/4/19,115.73,239.5118
3/1/19,115.47,238.97371
2/28/19,116.03,239.38958
2/27/19,116.19,239.71969
2/26/19,116.52,240.40054
2/25/19,116.34,240.02917
2/22/19,116.38,240.11169
2/21/19,115.86,239.03884
2/20/19,116.19,239.71969
2/19/19,116.29,239.92601
2/15/19,116.22,239.78159
2/14/19,116.08,239.49274
