Date,PX_LAST,TOT_RETURN_INDEX_GROSS_DVDS
7/9/19,2658.24773,3930.17
7/8/19,2653.54436,3922.0717
7/5/19,2665.48712,3939.6632
7/3/19,2655.63337,3924.6806
7/2/19,2629.3535,3884.9131
7/1/19,2624.69453,3877.88
6/28/19,2589.80544,3826.3064
6/27/19,2573.39433,3801.8801
6/26/19,2559.76456,3781.1751
6/25/19,2567.43818,3792.5103
6/24/19,2586.13575,3820.1295
6/21/19,2601.58716,3842.9537
6/20/19,2616.17074,3864.2576
6/19/19,2609.41596,3853.9245
6/18/19,2604.90135,3847.2434
6/17/19,2574.08694,3801.6202
6/14/19,2575.59104,3803.814
6/13/19,2564.42001,3786.8062
6/12/19,2549.20775,3763.2266
6/11/19,2547.19746,3760.1882
6/10/19,2551.01626,3765.6306
6/7/19,2533.80952,3740.2165
6/6/19,2517.92261,3716.4131
6/5/19,2515.48732,3711.8105
6/4/19,2492.90351,3678.0355
6/3/19,2446.90621,3609.9903
5/31/19,2465.56173,3637.4784
5/30/19,2504.36422,3693.9936
5/29/19,2499.56889,3686.4282
5/28/19,2509.97761,3701.677
5/24/19,2522.1419,3719.5823
5/23/19,2523.91343,3721.645
5/22/19,2560.06991,3774.5586
5/21/19,2566.63082,3784.1625
5/20/19,2543.18589,3749.4983
5/17/19,2561.38481,3776.2663
5/16/19,2573.42757,3793.6407
5/15/19,2544.13707,3749.3749
5/14/19,2528.46566,3725.5445
5/13/19,2502.77704,3687.2759
5/10/19,2564.20753,3777.6271
5/9/19,2559.48645,3769.3848
5/8/19,2573.4382,3788.604
5/7/19,2580.80537,3799.3434
5/6/19,2617.57565,3853.4466
5/3/19,2630.97535,3872.8513
5/2/19,2610.05547,3841.6815
5/1/19,2600.72051,3827.7818
4/30/19,2626.21913,3865.2768
4/29/19,2632.17065,3873.9334
4/26/19,2633.59312,3875.8423
4/25/19,2627.43109,3866.6573
4/24/19,2623.21893,3860.4585
4/23/19,2616.08703,3849.9579
4/22/19,2583.0254,3801.1119
4/18/19,2586.84773,3806.6349
4/17/19,2567.67882,3778.3353
4/16/19,2576.26728,3790.5976
4/15/19,2569.71787,3780.9611
4/12/19,2573.15692,3785.9338
4/11/19,2565.57115,3774.402
4/10/19,2561.37815,3768.1845
4/9/19,2553.8598,3756.8106
4/8/19,2570.13402,3779.5976
4/5/19,2579.34909,3793.0742
4/4/19,2566.52999,3774.1934
4/3/19,2555.49626,3757.1121
4/2/19,2560.72162,3764.7945
4/1/19,2558.62038,3761.5559
3/29/19,2525.97808,3713.5404
3/28/19,2505.95461,3683.9394
3/27/19,2492.7759,3663.9857
3/26/19,2497.9704,3671.5764
3/25/19,2472.70478,3634.4325
3/22/19,2479.16261,3643.6475
3/21/19,2514.64811,3695.5185
3/20/19,2486.55573,3654.0383
3/19/19,2494.77717,3665.9531
3/18/19,2500.8298,3674.738
3/15/19,2493.35689,3663.72
3/14/19,2485.6005,3652.1724
3/13/19,2486.87959,3652.8211
3/12/19,2472.55979,3631.5304
3/11/19,2475.80502,3636.1368
3/8/19,2440.45374,3584.1738
3/7/19,2448.93541,3596.2865
3/6/19,2450.87549,3598.3703
3/5/19,2469.3724,3625.3535
3/4/19,2464.53406,3618.1357
3/1/19,2466.95117,3621.5936
2/28/19,2446.39782,3591.2261
2/27/19,2456.1351,3604.444
2/26/19,2455.09666,3602.3681
2/25/19,2463.96722,3615.3426
2/22/19,2461.36965,3611.0251
2/21/19,2449.36005,3593.2981
2/20/19,2450.02639,3593.9667
2/19/19,2449.55939,3592.5807
2/15/19,2462.16624,3610.8056
2/14/19,2430.49482,3564.095
2/13/19,2441.49521,3578.9732
2/12/19,2424.67314,3554.0248
2/11/19,2404.22323,3523.8025
2/8/19,2390.00883,3502.9327
2/7/19,2384.3951,3493.5438
2/6/19,2401.20429,3517.6583
2/5/19,2399.59681,3514.9657
2/4/19,2383.7547,3491.7311
2/1/19,2359.86572,3456.6758
1/31/19,2361.65939,3458.8419
1/30/19,2347.8851,3437.9324
1/29/19,2310.11551,3382.2497
1/28/19,2312.06821,3385.061
1/25/19,2336.27915,3420.5078
1/24/19,2338.55208,3423.7163
1/23/19,2316.07127,3390.6986
1/22/19,2315.85891,3390.3831
1/18/19,2351.39109,3442.2659
1/17/19,2314.8854,3388.7329
1/16/19,2294.82456,3359.0364
1/15/19,2291.74715,3354.4454
1/14/19,2250.24832,3293.6305
1/11/19,2260.95968,3308.9382
1/10/19,2256.77038,3302.7984
1/9/19,2241.35958,3280.2391
1/8/19,2247.60782,3288.3413
1/7/19,2223.11448,3252.4362
1/4/19,2219.83167,3247.6219
1/3/19,2147.4603,3141.7423
1/2/19,2214.4067,3238.8315
12/31/18,2189.00629,3201.6738
12/28/18,2172.65973,3177.3086
12/27/18,2176.31165,3182.1301
12/26/18,2173.03628,3177.137
12/24/18,2060.56091,3012.636
12/21/18,2122.44862,3102.8822
12/20/18,2153.25945,3147.9256
12/19/18,2194.27571,3207.8152
12/18/18,2241.33803,3276.3
12/17/18,2242.92133,3278.4025
