Date,PX_LAST,TOT_RETURN_INDEX_GROSS_DVDS
7/8/2019,3523.76,7462.9924
7/5/2019,3527.98,7471.9299
7/4/2019,3544.15,7506.1765
7/3/2019,3540.63,7495.204
7/2/2019,3507.98,7423.9013
7/1/2019,3497.59,7401.9131
6/28/2019,3473.69,7351.3338
6/27/2019,3442.38,7285.0728
6/26/2019,3442.95,7286.279
6/25/2019,3444.36,7289.263
6/24/2019,3455.57,7312.9866
6/21/2019,3466.92,7337.0065
6/20/2019,3468.08,7339.4614
6/19/2019,3454.7,7311.1454
6/18/2019,3452.89,7307.315
6/17/2019,3383.21,7157.156
6/14/2019,3379.19,7148.6518
6/13/2019,3390.5,7172.578
6/12/2019,3386.63,7164.391
6/11/2019,3401.1,7195.0022
6/10/2019,3386.45,7159.0477
6/7/2019,3378.38,7141.9875
6/6/2019,3338.41,7057.4898
6/5/2019,3339.95,7060.7454
6/4/2019,3333.49,7047.0888
6/3/2019,3300.22,6974.3633
5/31/2019,3280.43,6932.5411
5/30/2019,3318.15,7010.9655
5/29/2019,3297.81,6967.9889
5/28/2019,3348.86,7065.45
5/27/2019,3364.04,7097.4768
5/24/2019,3350.7,7062.2002
5/23/2019,3327.2,7012.6697
5/22/2019,3386.72,7129.4472
5/21/2019,3386.51,7128.1781
5/20/2019,3369.78,7087.1589
5/17/2019,3425.64,7187.6236
5/16/2019,3438.56,7211.4406
5/15/2019,3385.78,7092.8333
5/14/2019,3364.38,7045.4216
5/13/2019,3320.78,6954.1178
5/10/2019,3361.05,7036.1226
5/9/2019,3350.71,7012.6816
5/8/2019,3417.26,7130.343
5/7/2019,3401.16,7096.7492
5/6/2019,3462.95,7219.4504
5/3/2019,3502.48,7293.2316
5/2/2019,3488.93,7265.0164
5/1/2019,3514.62,7303.0659
4/30/2019,3514.62,7303.0659
4/29/2019,3501.94,7272.9942
4/26/2019,3500.41,7257.8098
4/25/2019,3491.92,7234.9155
4/24/2019,3502.63,7249.0588
4/23/2019,3503.85,7251.5837
4/18/2019,3499.23,7238.9521
4/17/2019,3477.73,7194.4745
4/16/2019,3463.36,7164.7468
4/15/2019,3450.46,7136.6778
4/12/2019,3447.83,7128.5226
4/11/2019,3435.34,7100.3201
4/10/2019,3424.65,7078.2255
4/9/2019,3417.22,7062.8688
4/8/2019,3438.06,7105.9419
4/5/2019,3447.47,7122.3098
4/4/2019,3441.93,7110.8644
4/3/2019,3435.56,7097.7043
4/2/2019,3395.7,7015.3554
4/1/2019,3385.38,6994.0348
3/29/2019,3351.71,6924.4741
3/28/2019,3320.29,6853.0909
3/27/2019,3322.04,6856.7029
3/26/2019,3319.53,6849.3758
3/25/2019,3300.48,6810.0688
3/22/2019,3305.73,6820.9015
3/21/2019,3367.4,6948.1487
3/20/2019,3372.38,6958.4242
3/19/2019,3409,7033.9843
3/18/2019,3387.94,6985.6998
3/15/2019,3386.08,6981.8646
3/14/2019,3342.03,6891.0365
3/13/2019,3323.45,6851.4664
3/12/2019,3303.95,6811.2661
3/11/2019,3304.44,6812.2763
3/8/2019,3283.6,6769.3135
3/7/2019,3308.85,6821.3677
3/6/2019,3324.67,6852.7448
3/5/2019,3327.19,6857.939
3/4/2019,3317.12,6837.1829
3/1/2019,3312.1,6826.8358
2/28/2019,3298.26,6798.309
2/27/2019,3282.77,6766.3814
2/26/2019,3289.32,6779.8821
2/25/2019,3280.01,6760.6925
2/22/2019,3270.55,6741.1937
2/21/2019,3263.7,6727.0746
2/20/2019,3259.49,6718.3971
2/19/2019,3239.41,6677.0086
2/18/2019,3244.79,6688.0977
2/15/2019,3241.25,6680.8011
2/14/2019,3182.66,6560.0366
2/13/2019,3202.37,6598.9736
2/12/2019,3190.75,6575.0288
2/11/2019,3165.61,6523.224
2/8/2019,3135.62,6461.425
2/7/2019,3150.76,6492.6233
2/6/2019,3212.75,6620.3632
2/5/2019,3215.04,6625.0821
2/4/2019,3165.2,6522.3792
2/1/2019,3171.12,6534.5782
1/31/2019,3159.43,6510.4892
1/30/2019,3161.74,6506.0032
1/29/2019,3153.42,6485.8734
1/28/2019,3137.27,6452.6565
1/25/2019,3163.24,6506.0709
1/24/2019,3126.31,6430.1142
1/23/2019,3112.13,6400.9492
1/22/2019,3112.8,6402.3272
1/21/2019,3125.07,6427.5638
1/18/2019,3134.92,6444.7052
1/17/2019,3069.35,6309.9078
1/16/2019,3077.22,6326.0868
1/15/2019,3068.05,6307.2353
1/14/2019,3055.18,6279.3972
1/11/2019,3070.04,6309.9394
1/10/2019,3075.73,6321.6342
1/9/2019,3070.24,6310.3504
1/8/2019,3054.94,6276.3939
1/7/2019,3033.64,6232.6329
1/4/2019,3041.85,6249.5004
1/3/2019,2954.66,6070.368
