,CDX NA IG,CDX NA HY,iTraxx EU Main,iTraxx EU Xover,iTraxx EU SenFin
17,127.375,,112.292,515.167,187.875
18,81.751,,125.177,466.5,201.271
19,87.593,482.161,109.589,410.375,157.688
20,80.188,403.908,89.657,365.688,128.125
21,71.188,359.279,71.7,245.5,87.031
22,62.438,318.445,57.7,234.376,58.025
23,58.701,368.578,49.05,252.025,58.375
24,62.3,313.778,71.2,336.25,77.251
25,77.145,434.833,72.531,317.997,78.62
26,85.15,451.841,68.908,328.181,95.391
27,75.689,389.321,69.521,273.917,85.05
28,61.802,327.406,49.231,218.201,46.746
29,55.929,321.313,50.71,252.469,52.701
30,54.97,343.6859,58.885,275.566,67.256
31,55.793,307.2994,61.081,273.013,71.428
32,58.111,348.9494,46.982,253.545,56.627
33,52.595,334.0112,113.982,647.745,125.023
34,145.852,630.5337,61.218,330.861,65.161
35,75.964,377.5247,46.882,239.405,56.833
36,51.271,293.1672,,,
