Date,refloc,IndexSeries,IndexSymbol,CreditVix_pc,CreditVix_bp,NearTerm,NextTerm,Percentage_Near,BasisPoint_Near,D1,Percentage_Next,BasisPoint_Next,D2,sigma1sq_pc,sigma2sq_pc,sigma1sq_bp,sigma2sq_bp,T1,T2,IndexVersion
2018-08-23,L1730,28,VIXFS,61.01207271,49.190351353,2018-09-19,2018-10-17,60.798565754,48.757860657,27,61.877839342,50.921395212,55,0.3696465598,0.3828867002,0.2377328976,0.259298849,0.0739726027,0.1506849315,
2018-08-23,L1730,28,VIXIE,47.172578771,30.540607138,2018-09-19,2018-10-17,46.747978274,29.952655002,27,48.871181554,32.836422338,55,0.2185373473,0.2388392386,0.0897161542,0.1078230632,0.0739726027,0.1506849315,
2018-08-23,L1730,28,VIXXO,35.324428294,98.520659466,2018-09-19,2018-10-17,34.890020839,96.385712755,27,37.048547004,106.81108475,55,0.1217313554,0.1372594835,0.9290205623,1.1408607825,0.0739726027,0.1506849315,
2018-08-23,L1730,29,VIXFS,60.532207772,55.311767343,2018-09-19,2018-10-17,60.371467465,54.97039981,27,61.185384604,56.686868354,55,0.3644714084,0.3743651289,0.3021744855,0.3213401044,0.0739726027,0.1506849315,
2018-08-23,L1730,29,VIXHY,32.292249826,113.16736287,2018-09-19,2018-10-17,32.059112943,111.3166731,27,33.228963012,120.44260654,55,0.1027786723,0.1104163983,1.239140171,1.4506421469,0.0739726027,0.1506849315,
2018-08-23,L1730,29,VIXIE,46.937233814,35.249472836,2018-09-19,2018-10-17,46.517885676,34.61551849,27,48.615096296,37.732170209,55,0.2163913688,0.2363427588,0.119823412,0.1423716669,0.0739726027,0.1506849315,
2018-08-23,L1730,29,VIXIG,43.55725394,25.893940474,2018-09-19,2018-10-17,43.549035177,25.536245717,27,43.590860016,27.308492759,55,0.1896518465,0.1900163077,0.0652099845,0.0745753777,0.0739726027,0.1506849315,
2018-08-23,L1730,29,VIXXO,35.045954718,111.07965419,2018-09-19,2018-10-17,34.602375665,108.66644382,27,36.804968392,120.44945964,55,0.1197324402,0.1354605698,1.1808396012,1.4508072328,0.0739726027,0.1506849315,
2018-08-23,L1730,30,VIXHY,31.84019636,119.18421006,2018-09-19,2018-10-17,31.59372236,117.26037871,27,32.829235408,126.75072646,55,0.0998163293,0.1077758698,1.3749996414,1.6065746658,0.0739726027,0.1506849315,
2018-08-23,L1730,30,VIXIG,43.329022424,29.694272431,2018-09-19,2018-10-17,43.32752341,29.305346573,27,43.335154212,31.234944665,55,0.1877274285,0.1877935591,0.0858803338,0.0975621768,0.0739726027,0.1506849315,
2018-08-23,N1730,29,VIXHY,32.439862837,113.92545399,2018-09-19,2018-10-17,32.23154117,112.16992741,27,33.278510908,120.84187268,55,0.1038872246,0.1107459288,1.2582092615,1.4602758193,0.0739726027,0.1506849315,
2018-08-23,N1730,29,VIXIG,42.092641408,25.447397672,2018-09-19,2018-10-17,41.893171556,25.072649806,27,42.898997407,26.926200708,55,0.1755037823,0.1840323979,0.0628637768,0.0725020285,0.0739726027,0.1506849315,
