Trade Date,JGBVIX,BP JGBVIX
7/16/2019,1.66,23.18594342
7/12/2019,1.68,23.45187243
7/11/2019,1.54,21.46907448
7/10/2019,1.56,21.75434475
7/9/2019,1.38,19.22409455
7/8/2019,1.43,19.91482464
7/5/2019,1.47,20.4687868
7/4/2019,1.49,20.7133753
7/3/2019,1.5,20.85200516
7/2/2019,1.48,20.56290317
7/1/2019,1.54,21.38949929
6/28/2019,1.84,25.53907788
6/27/2019,1.76,24.41632266
6/26/2019,1.85,25.64301027
6/25/2019,1.73,23.96336671
6/24/2019,1.91,26.46075622
6/21/2019,1.89,26.17938966
6/20/2019,1.71,23.63971934
6/19/2019,1.81,25.01909532
6/18/2019,1.63,22.5309737
6/17/2019,1.61,22.24146837
6/14/2019,1.58,21.81340862
6/13/2019,1.65,23.57470066
6/12/2019,1.63,23.27247948
6/11/2019,1.63,23.27157053
6/10/2019,1.76,25.12010707
6/7/2019,1.73,24.66907039
6/6/2019,1.73,24.64544197
6/5/2019,1.71,24.36058294
6/4/2019,1.41,20.07416649
6/3/2019,1.45,20.63540554
5/31/2019,1.44,20.49189567
5/30/2019,1.34,19.05063603
5/29/2019,1.43,20.31773884
5/28/2019,1.28,18.17356867
5/27/2019,1.28,18.17034699
5/24/2019,1.25,17.73881025
5/23/2019,1.22,17.29304736
5/22/2019,1.24,17.56545501
5/21/2019,1.25,17.70883172
5/20/2019,1.26,17.85635313
5/17/2019,1.24,17.55331661
5/16/2019,1.28,18.09471083
5/15/2019,1.23,17.38259887
5/14/2019,1.27,17.94110196
5/13/2019,1.35,19.06212628
5/10/2019,1.47,20.75134264
5/9/2019,1.43,20.15861569
5/8/2019,1.43,20.16091563
5/7/2019,1.46,20.57201282
4/26/2019,1.55,21.82460712
4/25/2019,1.47,20.61094004
4/24/2019,1.4,19.62689714
4/23/2019,1.39,19.48073149
4/22/2019,1.37,19.19264524
4/19/2019,1.44,20.16530811
4/18/2019,1.45,20.28023458
4/17/2019,1.57,21.95617839
4/16/2019,1.49,20.84043712
4/15/2019,1.46,20.40177621
4/12/2019,1.34,18.70842323
4/11/2019,1.32,18.41379142
4/10/2019,1.39,19.37925263
4/9/2019,1.37,19.09100512
4/8/2019,1.46,20.34651289
4/5/2019,1.53,21.30773138
4/4/2019,1.42,19.74253534
4/3/2019,1.41,19.60990231
4/2/2019,1.41,19.5925069
4/1/2019,1.47,20.42738393
3/29/2019,1.41,19.58112558
3/28/2019,1.44,19.98099049
3/27/2019,1.37,18.99713301
3/26/2019,1.43,19.82327276
3/25/2019,1.49,20.6393721
3/22/2019,1.39,19.24952108
3/20/2019,1.37,18.95650109
3/19/2019,1.33,18.38638951
3/18/2019,1.33,18.38039285
3/15/2019,1.35,18.64988993
3/14/2019,1.41,19.45833412
3/13/2019,1.4,20.00651248
3/12/2019,1.44,20.57608516
3/11/2019,1.42,20.27873625
3/8/2019,1.46,20.83904904
3/7/2019,1.34,19.11131783
3/6/2019,1.33,18.95993192
3/5/2019,1.44,20.52784516
3/4/2019,1.52,21.64895725
3/1/2019,1.43,20.36242024
2/28/2019,1.52,21.61143325
2/27/2019,1.44,20.46323215
2/26/2019,1.42,20.17227009
2/25/2019,1.45,20.59951774
2/22/2019,1.45,20.58447979
2/21/2019,1.46,20.70541754
2/20/2019,1.44,20.41321379
2/19/2019,1.39,19.68917631
2/18/2019,1.42,20.11268773
2/15/2019,1.4,19.81962856
2/14/2019,1.47,20.79350159
2/13/2019,1.43,20.22117405
2/12/2019,1.43,20.2061304
2/8/2019,1.45,20.48514747
2/7/2019,1.36,19.18066081
2/6/2019,1.36,19.16956103
2/5/2019,1.4,19.73507982
2/4/2019,1.5,21.12918899
2/1/2019,1.5,21.1217239
1/31/2019,1.49,20.95648415
1/30/2019,1.41,19.82305091
1/29/2019,1.4,19.68007863
1/28/2019,1.42,19.95445411
1/25/2019,1.37,19.23738133
1/24/2019,1.42,19.9142543
1/23/2019,1.54,21.60046856
1/22/2019,1.56,21.86416012
1/21/2019,1.57,21.99604225
1/18/2019,1.57,21.98783038
1/17/2019,1.54,21.54142127
1/16/2019,1.59,22.23857429
1/15/2019,1.65,23.05913434
1/11/2019,1.64,22.9181491
1/10/2019,1.65,23.0132423
1/9/2019,1.72,23.99224019
1/8/2019,1.75,24.41619743
1/7/2019,1.98,27.59637163
1/4/2019,2.05,28.54726717
12/28/2018,1.67,23.22647974
12/27/2018,1.9,26.36965366
12/26/2018,1.88,26.08066181
12/25/2018,1.96,27.17813172
12/21/2018,2.02,28.014205
12/20/2018,2.21,30.58871103
12/19/2018,2.18,30.17098017
12/18/2018,1.77,24.47025887
12/17/2018,1.7,23.50990281
12/14/2018,1.63,22.51689522
12/13/2018,1.5,21.60010113
12/12/2018,1.59,22.89521351
12/11/2018,1.66,23.89376097
12/10/2018,1.68,24.17291927
12/7/2018,1.65,23.72460905
12/6/2018,1.69,24.28923113
12/5/2018,1.5,21.52620892
12/4/2018,1.45,20.81865727
12/3/2018,1.43,20.51702094
11/30/2018,1.52,21.80572662
11/29/2018,1.55,22.20850867
11/28/2018,1.45,20.77248792
11/27/2018,1.44,20.61770053
11/26/2018,1.49,21.32560371
11/22/2018,1.45,20.74360756
11/21/2018,1.42,20.27964557
11/20/2018,1.45,20.69801431
11/19/2018,1.43,20.40521914
11/16/2018,1.36,19.40362357
11/15/2018,1.29,18.38826323
11/14/2018,1.34,19.08723699
11/13/2018,1.31,18.65011315
11/12/2018,1.33,18.93063006
11/9/2018,1.29,18.3549725
11/8/2018,1.3,18.47616761
11/7/2018,1.32,18.75370108
