Date,VXHYG.Index,VXIEF.Index,V2X.Index
1/4/99,,,18.2
1/5/99,,,29.69
1/6/99,,,25.17
1/7/99,,,32.52
1/8/99,,,33.23
1/11/99,,,36.84
1/12/99,,,37.57
1/13/99,,,39.74
1/14/99,,,39.14
1/15/99,,,38.67
1/18/99,,,38.54
1/19/99,,,38.79
1/20/99,,,35.55
1/21/99,,,36.92
1/22/99,,,39.94
1/25/99,,,40.7
1/26/99,,,42.75
1/27/99,,,41.76
1/28/99,,,39.15
1/29/99,,,37.61
2/1/99,,,37.03
2/2/99,,,38.61
2/3/99,,,39.96
2/4/99,,,38.79
2/5/99,,,37.81
2/8/99,,,38.77
2/9/99,,,39.55
2/10/99,,,40.3
2/11/99,,,37.83
2/12/99,,,36.06
2/15/99,,,37.67
2/16/99,,,36.01
2/17/99,,,36.69
2/18/99,,,35.56
2/19/99,,,33.91
2/22/99,,,32.09
2/23/99,,,31.26
2/24/99,,,30.78
2/25/99,,,31.78
2/26/99,,,30.8
3/1/99,,,32.46
3/2/99,,,32.03
3/3/99,,,31.93
3/4/99,,,30.88
3/5/99,,,29.26
3/8/99,,,29.86
3/9/99,,,28.96
3/10/99,,,27.95
3/11/99,,,27.06
3/12/99,,,26.98
3/15/99,,,27.77
3/16/99,,,27.49
3/17/99,,,28.16
3/18/99,,,28.17
3/19/99,,,26.99
3/22/99,,,27.14
3/23/99,,,28.84
3/24/99,,,29.9
3/25/99,,,28.05
3/26/99,,,28.57
3/29/99,,,27.32
3/30/99,,,27.23
3/31/99,,,25.25
4/1/99,,,24.61
4/5/99,,,24.61
4/6/99,,,24.61
4/7/99,,,25.03
4/8/99,,,24.91
4/9/99,,,24.38
4/12/99,,,25.29
4/13/99,,,24.4
4/14/99,,,25.47
4/15/99,,,26.58
4/16/99,,,25.74
4/19/99,,,25.09
4/20/99,,,26.79
4/21/99,,,25.77
4/22/99,,,25.25
4/23/99,,,25.24
4/26/99,,,25.78
4/27/99,,,24.32
4/28/99,,,24.47
4/29/99,,,24.78
4/30/99,,,23.74
5/3/99,,,24.1
5/4/99,,,24.47
5/5/99,,,25.65
5/6/99,,,26.95
5/7/99,,,27.08
5/10/99,,,27.31
5/11/99,,,26.56
5/12/99,,,27.59
5/13/99,,,27.59
5/14/99,,,28.31
5/17/99,,,30.53
5/18/99,,,30.83
5/19/99,,,28.18
5/20/99,,,25.34
5/21/99,,,23.45
5/24/99,,,23.45
5/25/99,,,26.62
5/26/99,,,26.66
5/27/99,,,27.25
5/28/99,,,25.57
5/31/99,,,24.99
6/1/99,,,25.16
6/2/99,,,25.21
6/3/99,,,25.64
6/4/99,,,23.38
6/7/99,,,23.24
6/8/99,,,23.13
6/9/99,,,22.64
6/10/99,,,23.46
6/11/99,,,22.42
6/14/99,,,23.37
6/15/99,,,23.09
6/16/99,,,21.77
6/17/99,,,20.89
6/18/99,,,21.1
6/21/99,,,20.65
6/22/99,,,21.02
6/23/99,,,22.19
6/24/99,,,22.78
6/25/99,,,22.33
6/28/99,,,23.05
6/29/99,,,23.15
6/30/99,,,23.34
7/1/99,,,21.63
7/2/99,,,20.42
7/5/99,,,19.93
7/6/99,,,20.61
7/7/99,,,21.32
7/8/99,,,21.47
7/9/99,,,20.73
7/12/99,,,21.04
7/13/99,,,22.48
7/14/99,,,22.54
7/15/99,,,20.11
7/16/99,,,19.77
7/19/99,,,19.92
7/20/99,,,21.83
7/21/99,,,24.26
7/22/99,,,25.29
7/23/99,,,25.62
7/26/99,,,28.26
7/27/99,,,27.44
7/28/99,,,26.34
7/29/99,,,28
7/30/99,,,26.9
8/2/99,,,28.07
8/3/99,,,28.85
8/4/99,,,29.65
8/5/99,,,32.88
8/6/99,,,32.15
8/9/99,,,31.38
8/10/99,,,32.7
8/11/99,,,32.48
8/12/99,,,29.41
8/13/99,,,26.01
8/16/99,,,26.97
8/17/99,,,26.18
8/18/99,,,26.7
8/19/99,,,27.3
8/20/99,,,25.81
8/23/99,,,24.63
8/24/99,,,24.99
8/25/99,,,23.07
8/26/99,,,22.78
8/27/99,,,22.31
8/30/99,,,23.23
8/31/99,,,24.96
9/1/99,,,24.47
9/2/99,,,25.84
9/3/99,,,23.04
9/6/99,,,22.94
9/7/99,,,23.04
9/8/99,,,23.09
9/9/99,,,22.22
9/10/99,,,21.64
9/13/99,,,22.72
9/14/99,,,23.62
9/15/99,,,24.72
9/16/99,,,25.13
9/17/99,,,23.84
9/20/99,,,23.8
9/21/99,,,25.4
9/22/99,,,25.82
9/23/99,,,25.03
9/24/99,,,27.13
9/27/99,,,26.3
9/28/99,,,26.91
9/29/99,,,27.85
9/30/99,,,27.85
10/1/99,,,27.87
10/4/99,,,26.59
10/5/99,,,26.32
10/6/99,,,25.28
10/7/99,,,23.5
10/8/99,,,23.17
10/11/99,,,22.68
10/12/99,,,23.47
10/13/99,,,24.71
10/14/99,,,24.01
10/15/99,,,27.18
10/18/99,,,29.43
10/19/99,,,26
10/20/99,,,25.49
10/21/99,,,25.95
10/22/99,,,23.4
10/25/99,,,25.27
10/26/99,,,24.37
10/27/99,,,24.76
10/28/99,,,22.01
10/29/99,,,21.94
11/1/99,,,21.86
11/2/99,,,22.04
11/3/99,,,22.35
11/4/99,,,21.81
11/5/99,,,20.89
11/8/99,,,21.33
11/9/99,,,21.27
11/10/99,,,21.22
11/11/99,,,20.95
11/12/99,,,20.78
11/15/99,,,21.61
11/16/99,,,21.11
11/17/99,,,21.27
11/18/99,,,20.51
11/19/99,,,20.15
11/22/99,,,22.5
11/23/99,,,22.82
11/24/99,,,22.8
11/25/99,,,21.78
11/26/99,,,22
11/29/99,,,23.06
11/30/99,,,23.4
12/1/99,,,23.67
12/2/99,,,23.54
12/3/99,,,22.42
12/6/99,,,22.95
12/7/99,,,23.69
12/8/99,,,23.6
12/9/99,,,23.95
12/10/99,,,25.19
12/13/99,,,25.81
12/14/99,,,26.7
12/15/99,,,28.23
12/16/99,,,29.6
12/17/99,,,29.43
12/20/99,,,28.93
12/21/99,,,29.42
12/22/99,,,28.42
12/23/99,,,29
12/27/99,,,31.99
12/28/99,,,31.87
12/29/99,,,31.52
12/30/99,,,31.1
12/31/99,,,31.1
1/3/00,,,30.98
1/4/00,,,33.22
1/5/00,,,32.59
1/6/00,,,31.18
1/7/00,,,27.44
1/10/00,,,27.37
1/11/00,,,27.96
1/12/00,,,28.61
1/13/00,,,28.05
1/14/00,,,25.48
1/17/00,,,25.99
1/18/00,,,27.78
1/19/00,,,28.13
1/20/00,,,27.76
1/21/00,,,28.2
1/24/00,,,28.66
1/25/00,,,30.02
1/26/00,,,29.43
1/27/00,,,28.06
1/28/00,,,29.02
1/31/00,,,31.97
2/1/00,,,30.12
2/2/00,,,29.5
2/3/00,,,28.93
2/4/00,,,28.63
2/7/00,,,29.94
2/8/00,,,28.57
2/9/00,,,29.51
2/10/00,,,30.13
2/11/00,,,29.18
2/14/00,,,32.92
2/15/00,,,33.99
2/16/00,,,32.56
2/17/00,,,30.92
2/18/00,,,30.31
2/21/00,,,30.97
2/22/00,,,30.77
2/23/00,,,29.6
2/24/00,,,29.51
2/25/00,,,27.09
2/28/00,,,29.09
2/29/00,,,28.78
3/1/00,,,27.68
3/2/00,,,24.73
3/3/00,,,27.52
3/6/00,,,27.73
3/7/00,,,28.46
3/8/00,,,29.51
3/9/00,,,29.3
3/10/00,,,28.23
3/13/00,,,31.14
