Date,PX_LAST,TOT_RETURN_INDEX_GROSS_DVDS
7/8/2019,111.095,187.6901
7/5/2019,111.09,187.6816
7/3/2019,111.56,188.4757
7/2/2019,111.38,188.1716
7/1/2019,111.18,187.8337
6/28/2019,111.35,187.6955
6/27/2019,111.4,187.7798
6/26/2019,111.09,187.2573
6/25/2019,111.34,187.6787
6/24/2019,111.32,187.645
6/21/2019,111.12,187.3078
6/20/2019,111.41,187.7967
6/19/2019,111.22,187.4764
6/18/2019,110.84,186.8359
6/17/2019,110.54,186.3302
6/14/2019,110.57,186.3807
6/13/2019,110.6,186.4313
6/12/2019,110.36,186.0268
6/11/2019,110.22,185.7908
6/10/2019,110.24,185.8245
6/7/2019,110.53,186.3133
6/6/2019,110.22,185.7908
6/5/2019,110.24,185.8245
6/4/2019,110.3,185.9256
6/3/2019,110.4,186.0942
5/31/2019,110.4,185.6567
5/30/2019,109.89,184.7991
5/29/2019,109.6,184.3114
5/28/2019,109.57,184.2609
5/24/2019,109.41,183.9919
5/23/2019,109.37,183.9246
5/22/2019,109.05,183.3865
5/21/2019,108.87,183.0838
5/20/2019,108.88,183.1006
5/17/2019,109.03,183.3528
5/16/2019,109,183.3024
5/15/2019,109.13,183.521
5/14/2019,108.94,183.2015
5/13/2019,108.85,183.0501
5/10/2019,108.67,182.7474
5/9/2019,108.65,182.7138
5/8/2019,108.59,182.6129
5/7/2019,108.61,182.6465
5/6/2019,108.48,182.4279
5/3/2019,108.34,182.1925
5/2/2019,108.16,181.8898
5/1/2019,108.4,182.2934
4/30/2019,108.59,182.1754
4/29/2019,108.52,182.058
4/26/2019,108.71,182.3767
4/25/2019,108.49,182.0077
4/24/2019,108.5,182.0244
4/23/2019,108.25,181.605
4/22/2019,108.06,181.2863
4/18/2019,108.19,181.5044
4/17/2019,108.05,181.2695
4/16/2019,108.06,181.2863
4/15/2019,108.25,181.605
4/12/2019,108.27,181.6386
4/11/2019,108.48,181.9909
4/10/2019,108.61,182.209
4/9/2019,108.4,181.8567
4/8/2019,108.34,181.756
4/5/2019,108.39,181.8399
4/4/2019,108.31,181.7057
4/3/2019,108.23,181.5715
4/2/2019,108.43,181.907
4/1/2019,108.31,181.7057
3/29/2019,109.07,182.5393
3/28/2019,109.08,182.556
3/27/2019,109.07,182.5393
3/26/2019,108.84,182.1543
3/25/2019,108.82,182.1209
3/22/2019,108.62,181.7861
3/21/2019,108.08,180.8824
3/20/2019,108.06,180.8489
3/19/2019,107.62,180.1125
3/18/2019,107.68,180.213
3/15/2019,107.7,180.2464
3/14/2019,107.43,179.7946
3/13/2019,107.59,180.0623
3/12/2019,107.64,180.146
3/11/2019,107.44,179.8113
3/8/2019,107.43,179.7946
3/7/2019,107.29,179.5602
3/6/2019,106.99,179.0582
3/5/2019,106.83,178.7904
3/4/2019,106.76,178.6732
3/1/2019,106.63,178.4557
2/28/2019,107.07,178.7448
2/27/2019,107.26,179.0619
2/26/2019,107.49,179.4459
2/25/2019,107.37,179.2456
2/22/2019,107.4,179.2957
2/21/2019,107.13,178.8449
2/20/2019,107.37,179.2456
2/19/2019,107.36,179.2289
2/15/2019,107.3,179.1287
