Date,refloc,IndexSeries,IndexSymbol,CreditVix_pc,CreditVix_bp,NearTerm,NextTerm,Percentage_Near,BasisPoint_Near,D1,Percentage_Next,BasisPoint_Next,D2,sigma1sq_pc,sigma2sq_pc,sigma1sq_bp,sigma2sq_bp,T1,T2,IndexVersion
2018-08-23,L1730,29,VIXFS,60.53220777,55.31176734,2018-09-19,2018-10-17,60.37146747,54.97039981,27,61.1853846,56.68686835,55,0.364471408,0.374365129,0.302174486,0.321340104,0.073972603,0.150684932,
2018-08-23,N1730,30,VIXHY,32.04615253,120.28784,2018-09-19,2018-10-17,31.82854124,118.4823369,27,32.92140542,127.4078357,55,0.101305604,0.108381893,1.403806416,1.62327566,0.073972603,0.150684932,
2018-08-23,L1730,29,VIXIE,46.93723381,35.24947284,2018-09-19,2018-10-17,46.51788568,34.61551849,27,48.6150963,37.73217021,55,0.216391369,0.236342759,0.119823412,0.142371667,0.073972603,0.150684932,
2018-08-23,N1730,30,VIXIG,41.80703138,29.16132963,2018-09-19,2018-10-17,41.58450857,28.74146899,27,42.70527965,30.81943661,55,0.172927135,0.182374091,0.082607204,0.094983767,0.073972603,0.150684932,
2018-08-23,L1730,29,VIXXO,35.04595472,111.0796542,2018-09-19,2018-10-17,34.60237567,108.6664438,27,36.80496839,120.4494596,55,0.11973244,0.13546057,1.180839601,1.450807233,0.073972603,0.150684932,
2018-08-24,L1730,29,VIXFS,59.22557973,52.8893097,2018-09-19,2018-10-17,58.90537356,52.28544455,26,60.14104388,54.5963036,54,0.346984303,0.361694516,0.273376771,0.298075637,0.071232877,0.147945205,
2018-08-24,N1730,30,VIXHY,31.38122728,116.2839993,2018-09-19,2018-10-17,31.15100546,114.128173,26,32.03702065,122.2986601,54,0.097038514,0.102637069,1.302523988,1.495696226,0.071232877,0.147945205,
2018-08-24,L1730,29,VIXIE,46.65975878,34.67113562,2018-09-19,2018-10-17,46.21725849,33.9097486,26,47.91514327,36.78227271,54,0.213603498,0.229586095,0.114987105,0.135293559,0.071232877,0.147945205,
2018-08-24,N1730,30,VIXIG,41.25669465,28.73785936,2018-09-19,2018-10-17,41.04162375,28.25254178,26,41.87180566,30.09595871,54,0.168441488,0.175324811,0.079820612,0.090576673,0.071232877,0.147945205,
2018-08-24,L1730,29,VIXXO,34.69786375,108.9675588,2018-09-19,2018-10-17,34.13879532,105.7494634,26,36.26456826,117.7713588,54,0.116545735,0.131511891,1.1182949,1.387009295,0.071232877,0.147945205,
2018-08-27,N1730,30,VIXHY,31.20972489,114.8484748,2018-09-19,2018-10-17,30.92819308,111.7556667,23,31.58662708,118.9048849,51,0.095655313,0.099771501,1.248932905,1.413837165,0.063013699,0.139726027,
2018-08-27,N1730,30,VIXIG,41.51646926,28.36631806,2018-09-19,2018-10-17,41.54139053,27.82178292,23,41.48272842,29.08682045,51,0.172568713,0.172081676,0.07740516,0.084604312,0.063013699,0.139726027,
2018-08-28,L1730,29,VIXFS,58.68580682,53.67368511,2018-09-19,2018-10-17,57.63820839,52.01944728,22,59.81697805,55.43636179,50,0.332216307,0.357807086,0.27060229,0.307319021,0.060273973,0.136986301,
2018-08-28,N1730,30,VIXHY,31.3506371,115.6065476,2018-09-19,2018-10-17,31.07327602,112.3350761,22,31.6529273,119.1014225,50,0.096554848,0.100190781,1.261916932,1.418514885,0.060273973,0.136986301,
2018-08-28,L1730,29,VIXIE,45.61034221,33.4576072,2018-09-19,2018-10-17,44.87128573,32.01132031,22,46.40971292,34.97952281,50,0.201343228,0.215386145,0.102472463,0.122356702,0.060273973,0.136986301,
2018-08-28,N1730,30,VIXIG,41.38870493,28.28524285,2018-09-19,2018-10-17,41.39676409,27.63115968,22,41.37983804,28.98769288,50,0.171369208,0.1712291,0.076348099,0.084028634,0.060273973,0.136986301,
2018-08-28,L1730,29,VIXXO,35.23411205,110.283163,2018-09-19,2018-10-17,34.22660526,104.6042222,22,36.31009517,116.2099051,50,0.117146051,0.131842301,1.09420433,1.350474205,0.060273973,0.136986301,
2018-08-29,L1730,29,VIXFS,56.72858681,53.10918992,2018-09-19,2018-10-17,55.73717569,51.46947515,21,57.61087865,54.55028768,49,0.310663275,0.331901334,0.264910687,0.297573389,0.057534247,0.134246575,
2018-08-29,N1730,30,VIXHY,30.85138102,113.6738306,2018-09-19,2018-10-17,30.52220965,109.9603273,21,31.14620521,116.932091,49,0.093160528,0.09700861,1.209127358,1.367311391,0.057534247,0.134246575,
2018-08-29,L1730,29,VIXIE,47.72235897,35.78690087,2018-09-19,2018-10-17,47.16581903,34.3230833,21,48.22036057,37.06152161,49,0.222461448,0.232520317,0.117807405,0.137355638,0.057534247,0.134246575,
2018-08-29,N1730,30,VIXIG,40.70439939,27.95897198,2018-09-19,2018-10-17,40.21837265,27.04095774,21,41.1391904,28.76432153,49,0.16175175,0.169243299,0.07312134,0.082738619,0.057534247,0.134246575,
2018-08-29,L1730,29,VIXXO,36.7290532,117.4610566,2018-09-19,2018-10-17,35.34472682,110.1502752,21,37.93803809,123.7038348,49,0.124924971,0.143929473,1.213308312,1.530263874,0.057534247,0.134246575,
2018-08-30,L1730,29,VIXFS,60.03360082,55.80809212,2018-09-19,2018-10-17,59.1646823,54.11366594,20,60.67712439,57.04589269,48,0.350045963,0.368171342,0.292828884,0.325423387,0.054794521,0.131506849,
2018-08-30,N1730,30,VIXHY,32.87190223,123.6973181,2018-09-19,2018-10-17,32.86260135,120.5744799,20,32.87887616,125.9886601,48,0.107995057,0.10810205,1.453820521,1.587314247,0.054794521,0.131506849,
2018-08-30,L1730,29,VIXIE,48.38666817,36.47483251,2018-09-19,2018-10-17,48.79749512,35.58902273,20,48.07624416,37.12532233,48,0.238119553,0.231132525,0.126657854,0.137828956,0.054794521,0.131506849,
2018-08-30,N1730,30,VIXIG,43.98470694,30.74551848,2018-09-19,2018-10-17,45.00319093,30.50953704,20,43.20509094,30.92132271,48,0.202528719,0.186667988,0.093083185,0.09561282,0.054794521,0.131506849,
2018-08-30,L1730,29,VIXXO,37.17347002,120.4131439,2018-09-19,2018-10-17,35.89320826,113.1721643,20,38.10544882,125.5701599,48,0.12883224,0.145202523,1.280793878,1.576786505,0.054794521,0.131506849,
2018-08-31,L1730,29,VIXFS,62.91422799,60.81060948,2018-09-19,2018-10-17,62.58877668,60.06026666,19,63.11670465,61.27472904,47,0.391735497,0.398371841,0.360723563,0.375459242,0.052054795,0.128767123,
2018-08-31,N1730,30,VIXHY,32.15312418,121.2659803,2018-09-19,2018-10-17,32.46088866,118.9431367,19,31.95934162,122.6948785,47,0.105370929,0.102139952,1.414746976,1.50540332,0.052054795,0.128767123,
2018-08-31,L1730,29,VIXIE,49.16794596,38.05650873,2018-09-19,2018-10-17,48.57017117,36.4492031,19,49.53774973,39.02710351,47,0.235906153,0.245398865,0.132854441,0.152311481,0.052054795,0.128767123,
2018-08-31,N1730,30,VIXIG,42.94103525,30.15549093,2018-09-19,2018-10-17,43.14666138,29.07509142,19,42.81206737,30.81125757,47,0.186163439,0.183287311,0.084536094,0.094933359,0.052054795,0.128767123,
2018-08-31,L1730,29,VIXXO,37.52423754,123.6773016,2018-09-19,2018-10-17,36.11424858,115.4760155,19,38.37885754,128.535807,47,0.130423895,0.147293671,1.333471015,1.652145369,0.052054795,0.128767123,
2018-09-04,L1730,29,VIXFS,58.05136689,51.22816478,2018-09-19,2018-10-17,56.92478568,49.0864679,15,58.38768211,51.85824489,43,0.324043122,0.340912142,0.240948133,0.268927756,0.04109589,0.117808219,
2018-09-04,N1730,30,VIXHY,33.37292618,126.3309289,2018-09-19,2018-10-17,33.94158765,124.541667,15,33.19908777,126.8669008,43,0.115203137,0.110217943,1.551062682,1.609521052,0.04109589,0.117808219,
2018-09-04,L1730,29,VIXIE,49.11332615,37.77731155,2018-09-19,2018-10-17,49.15854604,36.19328571,15,49.09964683,38.24328909,43,0.241656265,0.241077532,0.130995393,0.146254916,0.04109589,0.117808219,
2018-09-04,N1730,30,VIXIG,44.88689908,31.46942848,2018-09-19,2018-10-17,47.3255709,31.3625032,15,44.12310003,31.50168328,43,0.223970966,0.194684796,0.098360661,0.099235605,0.04109589,0.117808219,
2018-09-04,L1730,29,VIXXO,38.23369198,125.6487821,2018-09-19,2018-10-17,36.67849494,116.0344539,15,38.69156373,128.4138108,43,0.134531199,0.14970371,1.346399448,1.64901068,0.04109589,0.117808219,
2018-09-05,L1730,29,VIXFS,56.07275024,48.98044225,2018-09-19,2018-10-17,53.18094572,45.03899512,14,56.77269064,49.91720028,42,0.282821299,0.32231384,0.202851108,0.249172688,0.038356164,0.115068493,
2018-09-05,N1730,30,VIXHY,32.60738693,123.3234088,2018-09-19,2018-10-17,33.74600866,122.8180093,14,32.31646373,123.4494354,42,0.11387931,0.104435383,1.50842634,1.523976309,0.038356164,0.115068493,
2018-09-05,L1730,29,VIXIE,47.35020127,35.46371617,2018-09-19,2018-10-17,46.82954244,33.50334868,14,47.47947388,35.93710287,42,0.219300605,0.225430044,0.112247437,0.129147536,0.038356164,0.115068493,
2018-09-05,N1730,30,VIXIG,43.90914405,30.6832584,2018-09-19,2018-10-17,46.46292538,30.56861782,14,43.24714216,30.71185168,42,0.215880343,0.187031531,0.09344404,0.094321783,0.038356164,0.115068493,
2018-09-05,L1730,29,VIXXO,37.91431025,122.4593189,2018-09-19,2018-10-17,37.6953597,117.0797284,14,37.9688506,123.7676867,42,0.142094014,0.144163362,1.370766279,1.531844027,0.038356164,0.115068493,
2018-09-06,L1730,29,VIXFS,58.49882462,49.99394212,2018-09-19,2018-10-17,58.75973654,48.91538702,13,58.44515063,50.21235981,41,0.345270664,0.341583563,0.239271509,0.252128108,0.035616438,0.112328767,
2018-09-06,N1730,30,VIXHY,32.75797245,123.3124442,2018-09-19,2018-10-17,33.35563612,121.0332702,13,32.63399961,123.7748625,41,0.111259846,0.106497793,1.46490525,1.532021658,0.035616438,0.112328767,
2018-09-06,L1730,29,VIXIE,46.99755815,34.82440644,2018-09-19,2018-10-17,46.79228454,33.01512595,13,47.03956236,35.18410703,41,0.218951789,0.221272043,0.108999854,0.123792139,0.035616438,0.112328767,
2018-09-06,N1730,30,VIXIG,42.86760408,30.23558686,2018-09-19,2018-10-17,43.6276106,29.1634326,13,42.71000542,30.45088878,41,0.190336841,0.182414456,0.08505058,0.092725663,0.035616438,0.112328767,
2018-09-06,L1730,29,VIXXO,37.44184489,119.9950771,2018-09-19,2018-10-17,37.1130325,113.6554395,13,37.50894933,121.2547778,41,0.137737718,0.140692128,1.291755894,1.470272114,0.035616438,0.112328767,
2018-09-07,L1730,29,VIXFS,58.03951145,48.26508003,2018-09-19,2018-10-17,60.06459694,48.20922302,12,57.69508706,48.27438325,40,0.360775581,0.332872307,0.232412918,0.233041608,0.032876712,0.109589041,
2018-09-07,N1730,30,VIXHY,32.9107768,124.2263843,2018-09-19,2018-10-17,33.65747571,121.7542412,12,32.78467359,124.6336409,40,0.113282567,0.107483482,1.482409524,1.553354445,0.032876712,0.109589041,
2018-09-07,L1730,29,VIXIE,46.15582115,34.18045621,2018-09-19,2018-10-17,44.54988806,31.19736496,12,46.41807525,34.65268033,40,0.198469253,0.215463771,0.097327558,0.120080825,0.032876712,0.109589041,
2018-09-07,N1730,30,VIXIG,43.09165106,30.24820687,2018-09-19,2018-10-17,45.61001085,30.14887671,12,42.65747228,30.2647302,40,0.208027309,0.181965994,0.090895477,0.091595389,0.032876712,0.109589041,
2018-09-07,L1730,29,VIXXO,37.39446661,120.4136946,2018-09-19,2018-10-17,37.17317331,114.2909662,12,37.43122163,121.4041323,40,0.138184481,0.140109635,1.306242496,1.473896333,0.032876712,0.109589041,
2018-09-10,L1730,29,VIXFS,56.47265486,43.71195315,2018-09-19,2018-10-17,58.95777711,44.13443064,9,56.26634812,43.67751912,37,0.347601948,0.316590193,0.194784797,0.190772568,0.024657534,0.101369863,
2018-09-10,N1730,30,VIXHY,32.02466279,119.3131009,2018-09-19,2018-10-17,32.87132516,117.4604399,9,31.95503134,119.4620574,37,0.108052402,0.102112403,1.379695494,1.427118316,0.024657534,0.101369863,
2018-09-10,L1730,29,VIXIE,44.59796945,31.65747076,2018-09-19,2018-10-17,46.81731446,31.72452731,9,44.41316227,31.65202751,37,0.219186093,0.197252898,0.100644563,0.100185085,0.024657534,0.101369863,
2018-09-10,N1730,30,VIXIG,41.35416411,28.01729054,2018-09-19,2018-10-17,44.81851743,28.25647853,9,41.06046203,27.99780736,37,0.20086995,0.168596154,0.079842858,0.078387722,0.024657534,0.101369863,
2018-09-10,L1730,29,VIXXO,36.27938615,113.9388598,2018-09-19,2018-10-17,35.59832321,107.3974328,9,36.33404796,114.4528612,37,0.126724062,0.132016304,1.153420858,1.309945743,0.024657534,0.101369863,
2018-09-11,L1730,29,VIXFS,53.89866213,39.23288469,2018-09-19,2018-10-17,56.73861979,40.28771737,8,53.72171852,39.16804244,36,0.321927098,0.288602304,0.162310017,0.153413555,0.021917808,0.098630137,
2018-09-11,N1730,30,VIXHY,32.35376958,120.6660718,2018-09-19,2018-10-17,34.11778042,121.2223466,8,32.2437583,120.6322757,36,0.116402294,0.103965995,1.469485731,1.455214594,0.021917808,0.098630137,
2018-09-11,L1730,29,VIXIE,45.28375589,31.97904521,2018-09-19,2018-10-17,48.93577567,32.45434775,8,45.05290792,31.95001174,36,0.239471014,0.202976451,0.105328469,0.102080325,0.021917808,0.098630137,
2018-09-11,N1730,30,VIXIG,42.40968004,29.02708916,2018-09-19,2018-10-17,46.02779428,29.65546475,8,42.18042701,28.98856802,36,0.211855785,0.177918842,0.087944659,0.084033708,0.021917808,0.098630137,
