Date,SPX.Index,SPX.Index.return,VIX.Index,VIX.Index.return,SPJGBV.Index,SPJGBV.Index.return,TYVIX.Index,TYVIX.Index.return,AGG.US.Equity,AGG.US.Equity.return,LQD.US.Equity,LQD.US.Equity.return,HYG.US.Equity,HYG.US.Equity.return,VXHYG.Index,VXHYG.Index.return,IEF.US.Equity,IEF.US.Equity.return,VXIEF.Index,VXIEF.Index.return,V2X.Index,V2X.Index.return
12/22/89,347.42,0.008197,,,,,,,,,,,,,,,,,,,,
12/26/89,346.81,-0.001543,,,,,,,,,,,,,,,,,,,,
12/27/89,348.81,0.005767,,,,,,,,,,,,,,,,,,,,
12/28/89,350.67,0.005352,,,,,,,,,,,,,,,,,,,,
12/29/89,353.4,0.008042,,,,,,,,,,,,,,,,,,,,
1/1/90,353.4,0.008042,,,,,,,,,,,,,,,,,,,,
1/2/90,359.69,0.017799,17.24,,,,,,,,,,,,,,,,,,,
1/3/90,358.76,-0.002566,18.19,0.055104,,,,,,,,,,,,,,,,,,
1/4/90,355.67,-0.008187,19.22,0.056625,,,,,,,,,,,,,,,,,,
1/5/90,352.2,-0.009734,20.11,0.046306,,,,,,,,,,,,,,,,,,
1/8/90,353.79,0.0046,20.26,0.007459,,,,,,,,,,,,,,,,,,
1/9/90,349.62,-0.011775,22.2,0.095755,,,,,,,,,,,,,,,,,,
1/10/90,347.31,-0.006596,22.44,0.010811,,,,,,,,,,,,,,,,,,
1/11/90,348.53,0.003513,20.05,-0.106506,,,,,,,,,,,,,,,,,,
1/12/90,339.93,-0.024506,24.64,0.228928,,,,,,,,,,,,,,,,,,
1/15/90,337,-0.008619,26.34,0.068994,,,,,,,,,,,,,,,,,,
1/16/90,340.75,0.011175,24.18,-0.082005,,,,,,,,,,,,,,,,,,
1/17/90,337.4,-0.009793,24.16,-0.000827,,,,,,,,,,,,,,,,,,
1/18/90,338.19,0.002341,24.34,0.00745,,,,,,,,,,,,,,,,,,
1/19/90,339.15,0.002868,22.5,-0.075596,,,,,,,,,,,,,,,,,,
1/22/90,330.38,-0.025759,26.7,0.186667,,,,,,,,,,,,,,,,,,
1/23/90,331.61,0.003729,24.72,-0.074157,,,,,,,,,,,,,,,,,,
1/24/90,330.26,-0.003881,25.39,0.027104,,,,,,,,,,,,,,,,,,
1/25/90,326.08,-0.012584,25.63,0.009453,,,,,,,,,,,,,,,,,,
1/26/90,325.8,-0.000767,26.28,0.025361,,,,,,,,,,,,,,,,,,
1/29/90,325.2,-0.001633,26.44,0.006088,,,,,,,,,,,,,,,,,,
1/30/90,322.98,-0.006574,27.25,0.030635,,,,,,,,,,,,,,,,,,
1/31/90,329.08,0.018889,25.36,-0.069358,,,,,,,,,,,,,,,,,,
2/1/90,328.79,-0.000733,24.87,-0.019322,,,,,,,,,,,,,,,,,,
2/2/90,330.92,0.006637,24.32,-0.022115,,,,,,,,,,,,,,,,,,
2/5/90,331.85,0.003491,24.54,0.009046,,,,,,,,,,,,,,,,,,
2/6/90,329.66,-0.006236,24.69,0.006112,,,,,,,,,,,,,,,,,,
2/7/90,333.75,0.012606,24.29,-0.016201,,,,,,,,,,,,,,,,,,
2/8/90,332.96,-0.002309,23.77,-0.021408,,,,,,,,,,,,,,,,,,
2/9/90,333.62,0.002447,23.69,-0.003366,,,,,,,,,,,,,,,,,,
2/12/90,330.08,-0.010256,24.38,0.029126,,,,,,,,,,,,,,,,,,
2/13/90,331.02,0.003125,23.76,-0.025431,,,,,,,,,,,,,,,,,,
2/14/90,332.01,0.003072,22.05,-0.07197,,,,,,,,,,,,,,,,,,
2/15/90,334.89,0.008744,19.71,-0.106122,,,,,,,,,,,,,,,,,,
2/16/90,332.72,-0.006213,20.78,0.054287,,,,,,,,,,,,,,,,,,
2/20/90,327.99,-0.014139,22.78,0.096246,,,,,,,,,,,,,,,,,,
2/21/90,327.67,-0.000969,23.89,0.048727,,,,,,,,,,,,,,,,,,
2/22/90,325.7,-0.005919,22.54,-0.056509,,,,,,,,,,,,,,,,,,
2/23/90,324.15,-0.00449,23.69,0.05102,,,,,,,,,,,,,,,,,,
2/26/90,328.67,0.014218,23.56,-0.005488,,,,,,,,,,,,,,,,,,
2/27/90,330.26,0.005033,22.69,-0.036927,,,,,,,,,,,,,,,,,,
2/28/90,331.89,0.005144,21.99,-0.030851,,,,,,,,,,,,,,,,,,
3/1/90,332.74,0.002632,21.9,-0.004093,,,,,,,,,,,,,,,,,,
3/2/90,335.54,0.008472,21.34,-0.025571,,,,,,,,,,,,,,,,,,
3/5/90,333.74,-0.004976,22.03,0.032334,,,,,,,,,,,,,,,,,,
3/6/90,337.93,0.012644,20.55,-0.067181,,,,,,,,,,,,,,,,,,
3/7/90,336.95,-0.002866,19.1,-0.07056,,,,,,,,,,,,,,,,,,
3/8/90,340.27,0.00988,19.74,0.033508,,,,,,,,,,,,,,,,,,
3/9/90,337.93,-0.006451,20.3,0.028369,,,,,,,,,,,,,,,,,,
3/12/90,338.67,0.002252,20.07,-0.01133,,,,,,,,,,,,,,,,,,
3/13/90,336,-0.007848,21.05,0.048829,,,,,,,,,,,,,,,,,,
3/14/90,336.87,0.00261,19.65,-0.066508,,,,,,,,,,,,,,,,,,
3/15/90,338.07,0.003589,18.81,-0.042748,,,,,,,,,,,,,,,,,,
3/16/90,341.91,0.011389,17.62,-0.063264,,,,,,,,,,,,,,,,,,
3/19/90,343.53,0.004755,18.29,0.038025,,,,,,,,,,,,,,,,,,
3/20/90,341.57,-0.005608,19.06,0.0421,,,,,,,,,,,,,,,,,,
3/21/90,339.74,-0.005349,20.1,0.054565,,,,,,,,,,,,,,,,,,
3/22/90,335.69,-0.011921,22.74,0.131343,,,,,,,,,,,,,,,,,,
3/23/90,337.22,0.00457,20.46,-0.100264,,,,,,,,,,,,,,,,,,
3/26/90,337.63,0.001794,19.59,-0.042522,,,,,,,,,,,,,,,,,,
3/27/90,341.5,0.011503,21.01,0.072486,,,,,,,,,,,,,,,,,,
3/28/90,342,0.001489,19.77,-0.05902,,,,,,,,,,,,,,,,,,
3/29/90,340.79,-0.003538,18.46,-0.066262,,,,,,,,,,,,,,,,,,
3/30/90,339.94,-0.002401,19.73,0.068797,,,,,,,,,,,,,,,,,,
4/2/90,338.7,-0.003451,22.84,0.157628,,,,,,,,,,,,,,,,,,
4/3/90,343.64,0.014726,20.44,-0.105079,,,,,,,,,,,,,,,,,,
