Date,SPX.Index,VIX.Index,SPJGBV.Index,TYVIX.Index,AGG.US.Equity,LQD.US.Equity,HYG.US.Equity,VXHYG.Index,IEF.US.Equity,VXIEF.Index,V2X.Index
12/22/1989,347.42,,,,,,,,,,
12/26/1989,346.81,,,,,,,,,,
12/27/1989,348.81,,,,,,,,,,
12/28/1989,350.67,,,,,,,,,,
12/29/1989,353.4,,,,,,,,,,
1/1/1990,353.4,,,,,,,,,,
1/2/1990,359.69,17.24,,,,,,,,,
1/3/1990,358.76,18.19,,,,,,,,,
1/4/1990,355.67,19.22,,,,,,,,,
1/5/1990,352.2,20.11,,,,,,,,,
1/8/1990,353.79,20.26,,,,,,,,,
1/9/1990,349.62,22.2,,,,,,,,,
1/10/1990,347.31,22.44,,,,,,,,,
1/11/1990,348.53,20.05,,,,,,,,,
1/12/1990,339.93,24.64,,,,,,,,,
1/15/1990,337,26.34,,,,,,,,,
1/16/1990,340.75,24.18,,,,,,,,,
1/17/1990,337.4,24.16,,,,,,,,,
1/18/1990,338.19,24.34,,,,,,,,,
1/19/1990,339.15,22.5,,,,,,,,,
1/22/1990,330.38,26.7,,,,,,,,,
1/23/1990,331.61,24.72,,,,,,,,,
1/24/1990,330.26,25.39,,,,,,,,,
1/25/1990,326.08,25.63,,,,,,,,,
1/26/1990,325.8,26.28,,,,,,,,,
1/29/1990,325.2,26.44,,,,,,,,,
1/30/1990,322.98,27.25,,,,,,,,,
1/31/1990,329.08,25.36,,,,,,,,,
2/1/1990,328.79,24.87,,,,,,,,,
2/2/1990,330.92,24.32,,,,,,,,,
2/5/1990,331.85,24.54,,,,,,,,,
2/6/1990,329.66,24.69,,,,,,,,,
2/7/1990,333.75,24.29,,,,,,,,,
2/8/1990,332.96,23.77,,,,,,,,,
2/9/1990,333.62,23.69,,,,,,,,,
2/12/1990,330.08,24.38,,,,,,,,,
2/13/1990,331.02,23.76,,,,,,,,,
2/14/1990,332.01,22.05,,,,,,,,,
