Date,PX_LAST
1/3/00,2002.11
1/4/00,1925.41
1/5/00,1929.28
1/6/00,1931.51
1/7/00,1983.83
1/10/00,2006.07
1/11/00,1979.92
1/12/00,1971.36
1/13/00,1995.35
1/14/00,2016.64
1/17/00,2016.64
1/18/00,2002.88
1/19/00,2004.02
1/20/00,1989.81
1/21/00,1984.01
1/24/00,1929.2
1/25/00,1940.9
1/26/00,1932.78
1/27/00,1925.31
1/28/00,1872.61
1/31/00,1919.84
2/1/00,1940.24
2/2/00,1940.21
2/3/00,1962.21
2/4/00,1961.44
2/7/00,1961.3
2/8/00,1985.49
2/9/00,1944.57
2/10/00,1951.65
2/11/00,1910.92
2/14/00,1914.88
2/15/00,1931.58
2/16/00,1912.12
2/17/00,1912.96
2/18/00,1854.85
2/21/00,1854.85
2/22/00,1863.26
2/23/00,1875.16
2/24/00,1865.2
2/25/00,1837.7
2/28/00,1858.17
2/29/00,1883.5
3/1/00,1901.51
3/2/00,1905.09
3/3/00,1942.89
3/6/00,1918.44
3/7/00,1869.33
3/8/00,1884.81
3/9/00,1933.11
3/10/00,1923.98
3/13/00,1908.42
3/14/00,1874.69
3/15/00,1920.28
3/16/00,2012.03
3/17/00,2020.31
3/20/00,2009.53
3/21/00,2060.9
3/22/00,2070.27
3/23/00,2107.13
3/24/00,2107.28
3/27/00,2102.31
3/28/00,2080.08
3/29/00,2081.45
3/30/00,2053.05
3/31/00,2067.76
4/3/00,2077.97
4/4/00,2062.53
4/5/00,2052.52
4/6/00,2072.16
4/7/00,2092.87
4/10/00,2076.46
4/11/00,2071.22
4/12/00,2025.23
4/13/00,1988.43
4/14/00,1872.55
4/17/00,1934.5
4/18/00,1990.04
4/19/00,1970.58
4/20/00,1980.36
4/21/00,1980.36
4/24/00,1973.91
4/25/00,2039.6
4/26/00,2017.04
4/27/00,2022.68
4/28/00,2005.55
5/1/00,2027.39
5/2/00,1997.09
5/3/00,1954.23
5/4/00,1946.65
5/5/00,1978.52
5/8/00,1967.01
5/9/00,1950.5
5/10/00,1910.79
5/11/00,1945.38
5/12/00,1963.59
5/15/00,2007.03
5/16/00,2025.96
5/17/00,2000.94
5/18/00,1986.4
5/19/00,1944.65
5/22/00,1936.04
5/23/00,1898.94
5/24/00,1933.85
5/25/00,1909.67
5/26/00,1904.98
5/29/00,1904.98
5/30/00,1966.59
5/31/00,1964.4
6/1/00,2003.45
6/2/00,2042.79
6/5/00,2029.5
6/6/00,2015.98
6/7/00,2034.91
6/8/00,2021.56
6/9/00,2015.03
6/12/00,1999.92
6/13/00,2032.58
6/14/00,2034.19
6/15/00,2045.52
6/16/00,2026
6/19/00,2055.84
6/20/00,2041.94
6/21/00,2046.35
6/22/00,2009.13
6/23/00,1994.33
6/26/00,2013.46
6/27/00,2006.88
6/28/00,2013.08
6/29/00,1995.89
6/30/00,2012.83
7/3/00,2033.58
7/4/00,2033.58
7/5/00,2001.71
7/6/00,2016.41
7/7/00,2047.18
7/10/00,2042.64
7/11/00,2049.99
7/12/00,2066.79
7/13/00,2070.86
7/14/00,2090.44
7/17/00,2091.14
7/18/00,2067.97
7/19/00,2051.76
7/20/00,2070.61
7/21/00,2049.31
7/24/00,2027.41
7/25/00,2041.51
7/26/00,2011.01
7/27/00,2007.29
7/28/00,1966.2
7/31/00,1981.36
8/1/00,1991.43
8/2/00,1992.41
8/3/00,2011.8
8/4/00,2026.4
8/7/00,2049.14
8/8/00,2054.11
8/9/00,2040.55
