Date,PX_LAST,TOT_RETURN_INDEX_GROSS_DVDS
7/9/19,58.80988,58.8099
7/8/19,58.90325,58.9033
7/5/19,58.80203,58.802
7/3/19,59.08164,59.0816
7/2/19,58.81312,58.8131
7/1/19,58.89853,58.8985
6/28/19,59.63553,59.6355
6/27/19,59.66039,59.6604
6/26/19,60.18624,60.1862
6/25/19,60.45939,60.4594
6/24/19,59.63649,59.6365
6/21/19,59.88008,59.8801
6/20/19,59.75027,59.7503
6/19/19,60.91841,60.9184
6/18/19,62.27123,62.2712
6/17/19,62.54231,62.5423
6/14/19,63.27059,63.2706
6/13/19,61.08549,61.0855
6/12/19,59.26352,59.2635
6/11/19,58.8578,58.8578
6/10/19,59.23471,59.2347
6/7/19,59.55908,59.5591
6/6/19,61.33888,61.3389
6/5/19,62.74143,62.7414
6/4/19,61.94753,61.9475
6/3/19,62.94579,62.9458
5/31/19,63.08009,63.0801
5/30/19,60.92852,60.9285
5/29/19,61.77474,61.7747
5/28/19,61.23601,61.236
5/24/19,59.51807,59.5181
5/23/19,59.53318,59.5332
5/22/19,58.84198,58.842
5/21/19,59.14875,59.1487
5/20/19,59.11533,59.1153
5/17/19,58.8857,58.8857
5/16/19,58.30724,58.3072
5/15/19,58.12957,58.1296
5/14/19,57.62712,57.6271
5/13/19,57.88162,57.8816
5/10/19,56.35846,56.3585
5/9/19,56.91869,56.9187
5/8/19,56.68067,56.6807
5/7/19,57.43177,57.4318
5/6/19,55.86004,55.86
5/3/19,54.63558,54.6356
5/2/19,55.25139,55.2514
5/1/19,55.13254,55.1325
4/30/19,55.68334,55.6833
4/29/19,55.35283,55.3528
4/26/19,56.54394,56.5439
4/25/19,57.03511,57.0351
4/24/19,57.37969,57.3797
4/23/19,56.75941,56.7594
4/22/19,54.95648,54.9565
4/18/19,55.2805,55.2805
4/17/19,54.65652,54.6565
4/16/19,54.81212,54.8121
4/15/19,54.90404,54.904
4/12/19,55.01372,55.0137
4/11/19,54.57452,54.5745
4/10/19,54.55835,54.5584
4/9/19,54.52529,54.5253
4/8/19,54.06053,54.0605
4/5/19,54.60544,54.6054
4/4/19,55.18317,55.1832
4/3/19,55.84312,55.8431
4/2/19,56.80093,56.8009
4/1/19,56.70177,56.7018
3/29/19,57.74886,57.7489
3/28/19,57.97063,57.9706
3/27/19,59.2767,59.2767
3/26/19,56.76682,56.7668
3/25/19,57.9924,57.9924
3/22/19,55.85554,55.8555
3/21/19,53.44843,53.4484
3/20/19,53.90033,53.9003
3/19/19,53.97217,53.9722
3/18/19,55.12888,55.1289
3/15/19,55.22968,55.2297
3/14/19,55.943,55.943
3/13/19,56.50712,56.5071
3/12/19,56.44818,56.4482
3/11/19,57.48088,57.4809
3/8/19,57.84698,57.847
3/7/19,57.951,57.951
3/6/19,57.69367,57.6937
3/5/19,58.11277,58.1128
3/4/19,58.2245,58.2245
3/1/19,57.99384,57.9938
2/28/19,57.3625,57.3625
2/27/19,57.38411,57.3841
2/26/19,57.12654,57.1265
2/25/19,57.47268,57.4727
2/22/19,57.43874,57.4387
2/21/19,57.50728,57.5073
2/20/19,57.27609,57.2761
2/19/19,57.77229,57.7723
2/15/19,57.71312,57.7131
2/14/19,58.12163,58.1216
2/13/19,58.63781,58.6378
2/12/19,58.40106,58.4011
2/11/19,58.86789,58.8679
2/8/19,58.28773,58.2877
2/7/19,57.88175,57.8818
2/6/19,57.69163,57.6916
2/5/19,58.5415,58.5415
2/4/19,58.65629,58.6563
2/1/19,58.33987,58.3399
1/31/19,58.56769,58.5677
1/30/19,59.68123,59.6812
1/29/19,59.98425,59.9842
1/28/19,60.33231,60.3323
1/25/19,60.66106,60.6611
1/24/19,61.65147,61.6515
1/23/19,61.09892,61.0989
1/22/19,61.42141,61.4214
1/18/19,61.34002,61.34
1/17/19,61.36823,61.3682
1/16/19,61.20175,61.2018
1/15/19,61.68569,61.6857
1/14/19,61.68859,61.6886
1/11/19,61.4909,61.4909
1/10/19,61.6461,61.6461
1/9/19,61.86595,61.8659
1/8/19,63.06094,63.0609
1/7/19,63.29235,63.2924
1/4/19,65.15869,65.1587
1/3/19,65.02325,65.0232
1/2/19,64.94927,64.9493
12/31/18,65.0978,65.0978
