Date,SPTR,VIX
6/1/88,270.953,
6/2/88,269.582,
6/3/88,270.741,
6/6/88,271.412,
6/7/88,269.561,
6/8/88,276.018,
6/9/88,274.782,
6/10/88,275.873,
6/13/88,276.065,
6/14/88,279.007,
6/15/88,279.166,
6/16/88,274.416,
6/17/88,275.356,
6/20/88,273.62,
6/21/88,276.401,
6/22/88,280.462,
6/23/88,279.607,
6/24/88,278.743,
6/27/88,273.973,
6/28/88,277.32,
6/29/88,275.972,
6/30/88,278.544,
7/1/88,276.856,
7/5/88,281.053,
7/6/88,277.191,
7/7/88,276.946,
7/8/88,275.155,
7/11/88,275.725,
7/12/88,272.975,
7/13/88,274.475,
7/14/88,275.467,
7/15/88,277.291,
7/18/88,275.744,
7/19/88,273.675,
7/20/88,275.234,
7/21/88,271.83,
7/22/88,268.611,
7/25/88,269.885,
7/26/88,270.454,
7/27/88,267.762,
7/28/88,271.353,
7/29/88,277.487,
8/1/88,277.757,
8/2/88,277.708,
8/3/88,278.684,
8/4/88,277.807,
8/5/88,277.07,
8/8/88,275.962,
8/9/88,272.567,
8/10/88,267.894,
8/11/88,268.795,
8/12/88,268.602,
8/15/88,264.773,
8/16/88,266.726,
8/17/88,266.953,
8/18/88,267.241,
8/19/88,266.448,
8/22/88,263.184,
8/23/88,263.303,
8/24/88,267.444,
8/25/88,265.457,
8/26/88,266.044,
8/29/88,268.862,
8/30/88,269.081,
8/31/88,268.067,
9/1/88,264.848,
9/2/88,271.188,
9/6/88,272.374,
9/7/88,272.661,
9/8/88,272.685,
9/9/88,273.776,
9/12/88,273.412,
9/13/88,274.415,
9/14/88,276.361,
9/15/88,275.161,
9/16/88,277.757,
9/19/88,275.892,
9/20/88,276.934,
9/21/88,277.425,
9/22/88,276.419,
9/23/88,277.015,
9/26/88,276.32,
9/27/88,275.697,
9/28/88,276.549,
9/29/88,280.181,
9/30/88,279.488,
10/3/88,279.085,
10/4/88,278.347,
10/5/88,279.622,
10/6/88,280.169,
10/7/88,286.037,
10/10/88,286.212,
10/11/88,285.903,
10/12/88,281.841,
10/13/88,283.117,
10/14/88,283.437,
10/17/88,284.393,
10/18/88,287.462,
10/19/88,284.983,
10/20/88,291.064,
10/21/88,291.87,
10/24/88,290.492,
10/25/88,290.624,
10/26/88,289.663,
10/27/88,285.443,
10/28/88,286.745,
10/31/88,287.27,
11/1/88,287.506,
11/2/88,287.507,
11/3/88,287.714,
11/4/88,284.965,
11/7/88,282.649,
11/8/88,283.973,
11/9/88,282.145,
11/10/88,282.586,
11/11/88,276.628,
11/14/88,276.549,
11/15/88,277.213,
11/16/88,272.602,
11/17/88,273.422,
11/18/88,275.425,
11/21/88,275.189,
11/22/88,276.213,
11/23/88,278.093,
11/25/88,276.359,
11/28/88,277.889,
11/29/88,280.288,
11/30/88,283.176,
12/1/88,281.953,
12/2/88,281.308,
12/5/88,284.601,
12/6/88,287.394,
12/7/88,287.964,
12/8/88,286.352,
12/9/88,286.927,
12/12/88,286.434,
12/13/88,286.242,
12/14/88,285.217,
12/15/88,284.157,
12/16/88,286.258,
12/19/88,288.983,
12/20/88,287.504,
12/21/88,287.414,
12/22/88,286.889,
12/23/88,288.17,
12/27/88,287.101,
