TRADE_DATE,CONTR_QTY,TRADE_TIME,TRADE_TIME_THOU,TRADE_PRICE_IND,TRADE_PRICE,TICK_PRFX_TEXT,CLASS_SYM,EXPR_DATE,EXER_PRICE,PUT_CALL_CODE,TRADE_TYPE,PROD_TYPE_CODE,ORIG_TRADE_PRICE,ORIG_TRADE_PRICE_IND,RAW_ORIG_TRADE_PRICE,RAW_TRADE_PRICE,NON_CNTG_BEST_BID_PRICE,NON_CNTG_BEST_BID_PRICE_IND,RAW_NON_CNTG_BEST_BID_PRICE,NON_CNTG_BEST_BID_SIZE,NON_CNTG_BEST_ASK_PRICE,NON_CNTG_BEST_ASK_PRICE_IND,RAW_NON_CNTG_BEST_ASK_PRICE,NON_CNTG_BEST_ASK_SIZE
02JAN2019:00:00:00,1,02JAN2019:08:30:03,559,V,-58.65,SPRD,SPX,,,,R,11,-58.65,V,-58.65,-58.65,,,,0,,,,0
02JAN2019:00:00:00,1,02JAN2019:08:30:03,962,V,35.55,SPRD,SPX,15FEB2019:00:00:00,2315,P,R,7,35.55,V,35.55,35.55,34.9,V,34.9,234,36.1,V,36.1,187
02JAN2019:00:00:00,1,02JAN2019:08:30:03,962,V,7.95,SPRD,SPX,15FEB2019:00:00:00,2690,C,R,7,7.95,V,7.95,7.95,7.7,V,7.7,302,8.2,V,8.2,552
02JAN2019:00:00:00,50,02JAN2019:08:30:03,439,V,7.6,OPNT,SPX,15FEB2019:00:00:00,2695,C,R,7,7.6,V,7.6,7.6,7.7,V,7.7,15,7.5,V,7.5,15
02JAN2019:00:00:00,25,02JAN2019:08:30:03,500,V,5.8,OPNT,SPX,15FEB2019:00:00:00,2715,C,R,7,5.8,V,5.8,5.8,5.9,V,5.9,3,5.8,V,5.8,226
02JAN2019:00:00:00,55,02JAN2019:08:30:03,836,V,520.55,SPRD,SPX,15FEB2019:00:00:00,2990,P,R,7,520.55,V,520.55,520.55,517.5,V,517.5,100,523.6,V,523.6,100
02JAN2019:00:00:00,5,02JAN2019:08:30:03,783,V,1.45,SPRD,SPX,18JAN2019:00:00:00,2000,P,R,7,1.45,V,1.45,1.45,1.35,V,1.35,320,1.5,V,1.5,832
02JAN2019:00:00:00,1,02JAN2019:08:30:03,427,V,4.25,SPRD,SPX,18JAN2019:00:00:00,2160,P,R,7,4.25,V,4.25,4.25,4.1,V,4.1,240,4.4,V,4.4,440
02JAN2019:00:00:00,1,02JAN2019:08:30:03,982,V,100.35,SPRD,SPX,18JAN2019:00:00:00,2550,P,R,7,100.35,V,100.35,100.35,99.3,V,99.3,195,102.4,V,102.4,195
02JAN2019:00:00:00,2,02JAN2019:08:30:03,630,V,2.7,SPRD,SPX,18JAN2019:00:00:00,2650,C,R,7,2.7,V,2.7,2.7,2.55,V,2.55,458,2.8,V,2.8,116
02JAN2019:00:00:00,1,02JAN2019:08:30:03,796,V,6.7,SPRD,SPX,15FEB2019:00:00:00,2025,P,R,7,6.7,V,6.7,6.7,6.5,V,6.5,212,6.8,V,6.8,615
02JAN2019:00:00:00,1,02JAN2019:08:30:03,732,V,2.7,SPRD,SPX,18JAN2019:00:00:00,2650,C,R,7,2.7,V,2.7,2.7,2.55,V,2.55,458,2.85,V,2.85,445
02JAN2019:00:00:00,1,02JAN2019:08:30:03,463,V,2.7,SPRD,SPX,18JAN2019:00:00:00,2650,C,R,7,2.7,V,2.7,2.7,2.55,V,2.55,316,2.8,V,2.8,116
02JAN2019:00:00:00,50,02JAN2019:08:30:03,967,V,5.85,SPRD,SPX,15FEB2019:00:00:00,2000,P,R,7,5.85,V,5.85,5.85,5.6,V,5.6,570,6,V,6,888
02JAN2019:00:00:00,1,02JAN2019:08:30:03,559,V,46.1,SPRD,SPX,20SEP2019:00:00:00,2000,P,R,7,46.1,V,46.1,46.1,45.6,V,45.6,111,47.1,V,47.1,221
02JAN2019:00:00:00,1,02JAN2019:08:30:03,804,V,67.8,SPRD,SPX,20DEC2019:00:00:00,2050,P,R,7,67.8,V,67.8,67.8,66.8,V,66.8,109,68.8,V,68.8,109
02JAN2019:00:00:00,1,02JAN2019:08:30:03,804,V,77.25,SPRD,SPX,20DEC2019:00:00:00,2100,P,R,7,77.25,V,77.25,77.25,76.2,V,76.2,107,78.3,V,78.3,160
02JAN2019:00:00:00,55,02JAN2019:08:30:03,836,V,10,SPRD,SPX,,,,R,11,10,V,10,10,,,,0,,,,0
02JAN2019:00:00:00,1,02JAN2019:08:30:03,804,V,-0.45,SPRD,SPX,,,,R,11,-0.45,V,-0.45,-0.45,,,,0,,,,0
02JAN2019:00:00:00,10,02JAN2019:08:30:03,592,V,-3.45,SPRD,SPX,,,,R,11,-3.45,V,-3.45,-3.45,,,,0,,,,0
02JAN2019:00:00:00,1,02JAN2019:08:30:03,700,V,-1.4,SPRD,SPX,,,,R,11,-1.4,V,-1.4,-1.4,,,,0,,,,0
02JAN2019:00:00:00,1,02JAN2019:08:30:03,965,V,18.55,SPRD,SPX,15FEB2019:00:00:00,2625,C,R,7,18.55,V,18.55,18.55,18,V,18,299,18.9,V,18.9,212
02JAN2019:00:00:00,25,02JAN2019:08:30:03,762,V,9.9,OPNT,SPX,15FEB2019:00:00:00,2675,C,R,7,9.9,V,9.9,9.9,10,V,10,25,9.9,V,9.9,25
02JAN2019:00:00:00,10,02JAN2019:08:30:03,237,V,3.5,OPNT,SPX,15FEB2019:00:00:00,2750,C,R,7,3.5,V,3.5,3.5,3.5,V,3.5,10,3.5,V,3.5,109
02JAN2019:00:00:00,1,02JAN2019:08:30:03,640,V,19.4,OPNT,SPX,15MAR2019:00:00:00,2675,C,R,7,19.4,V,19.4,19.4,19.4,V,19.4,25,19.3,V,19.3,1
02JAN2019:00:00:00,1,02JAN2019:08:30:03,463,V,1.7,SPRD,SPX,18JAN2019:00:00:00,2670,C,R,7,1.7,V,1.7,1.7,1.65,V,1.65,334,1.85,V,1.85,134
02JAN2019:00:00:00,2,02JAN2019:08:30:03,630,V,1.4,SPRD,SPX,18JAN2019:00:00:00,2680,C,R,7,1.4,V,1.4,1.4,1.35,V,1.35,340,1.4,V,1.4,2
02JAN2019:00:00:00,25,02JAN2019:08:30:03,526,V,11.6,OPNT,SPX,15MAR2019:00:00:00,2725,C,R,7,11.6,V,11.6,11.6,11.6,V,11.6,25,11.6,V,11.6,117
02JAN2019:00:00:00,25,02JAN2019:08:30:03,726,V,175.2,SPRD,SPX,18APR2019:00:00:00,2585,P,R,7,175.2,V,175.2,175.2,173.8,V,173.8,160,176.4,V,176.4,160
02JAN2019:00:00:00,1,02JAN2019:08:30:03,559,V,12.55,SPRD,SPX,20SEP2019:00:00:00,3000,C,R,7,12.55,V,12.55,12.55,12.2,V,12.2,118,13.3,V,13.3,118
02JAN2019:00:00:00,2,02JAN2019:08:30:03,804,V,6.45,SPRD,SPX,20DEC2019:00:00:00,1300,P,R,7,6.45,V,6.45,6.45,5.7,V,5.7,122,7.2,V,7.2,122
02JAN2019:00:00:00,1,02JAN2019:08:30:03,793,V,-31.2,SPRD,SPX,,,,R,11,-31.2,V,-31.2,-31.2,,,,0,,,,0
02JAN2019:00:00:00,1,02JAN2019:08:30:03,982,V,30,SPRD,SPX,,,,R,11,30,V,30,30,,,,0,,,,0
02JAN2019:00:00:00,1,02JAN2019:08:30:03,830,V,1.25,SPRD,SPX,,,,R,11,1.25,V,1.25,1.25,,,,0,,,,0
02JAN2019:00:00:00,25,02JAN2019:08:30:03,833,V,9.95,SPRD,SPX,,,,R,11,9.95,V,9.95,9.95,,,,0,,,,0
02JAN2019:00:00:00,50,02JAN2019:08:30:03,967,V,0.1,SPRD,SPX,,,,R,11,0.1,V,0.1,0.1,,,,0,,,,0
02JAN2019:00:00:00,1,02JAN2019:08:30:03,965,V,-4.95,SPRD,SPX,,,,R,11,-4.95,V,-4.95,-4.95,,,,0,,,,0
02JAN2019:00:00:00,30,02JAN2019:08:30:03,967,V,5.85,SPRD,SPX,15FEB2019:00:00:00,2000,P,R,7,5.85,V,5.85,5.85,5.6,V,5.6,570,6,V,6,888
02JAN2019:00:00:00,30,02JAN2019:08:30:03,967,V,5.95,SPRD,SPX,15FEB2019:00:00:00,2005,P,R,7,5.95,V,5.95,5.95,5.8,V,5.8,222,6.1,V,6.1,627
02JAN2019:00:00:00,1,02JAN2019:08:30:03,662,V,74.5,SPRD,SPX,15FEB2019:00:00:00,2450,P,R,7,74.5,V,74.5,74.5,73.6,V,73.6,197,75.3,V,75.3,112
02JAN2019:00:00:00,3,02JAN2019:08:30:03,320,V,13.9,OPNT,SPX,15FEB2019:00:00:00,2650,C,R,7,13.9,V,13.9,13.9,13.9,V,13.9,3,13.6,V,13.6,3
02JAN2019:00:00:00,1,02JAN2019:08:30:03,962,V,7.35,SPRD,SPX,15FEB2019:00:00:00,2695,C,R,7,7.35,V,7.35,7.35,7.1,V,7.1,537,7.6,V,7.6,216
02JAN2019:00:00:00,25,02JAN2019:08:30:03,833,V,520.55,SPRD,SPX,15FEB2019:00:00:00,2990,P,R,7,520.55,V,520.55,520.55,517.5,V,517.5,100,523.6,V,523.6,100
02JAN2019:00:00:00,1,02JAN2019:08:30:03,458,V,0.55,OPNT,SPX,18JAN2019:00:00:00,1850,P,R,7,0.55,V,0.55,0.55,0.55,V,0.55,332,0.5,V,0.5,1
