Trade Date,TYVIX,BP TYVIX
6/17/19,5.36,90.4604981
6/14/19,5.41,91.1382921
6/13/19,5.28,88.91273535
6/12/19,4.69,78.90071261
6/11/19,4.49,75.57468864
6/10/19,4.42,73.32658241
6/7/19,4.64,77.96893439
6/6/19,5.08,85.27624359
6/5/19,5.28,88.65361
6/4/19,5.21,87.47504677
6/3/19,5.72,95.80041276
5/31/19,5.61,93.93364712
5/30/19,4.66,76.9097148
5/29/19,4.69,77.57525276
5/28/19,4.77,79.8364205
5/24/19,4.22,69.61410871
5/23/19,4.41,72.81027109
5/22/19,4.08,67.18662473
5/21/19,4.08,67.22304325
5/20/19,4.18,68.83918377
5/17/19,4.1,67.45698982
5/16/19,4,65.68405198
5/15/19,4.11,68.43364534
5/14/19,4.15,68.10767142
5/13/19,4.37,72.72563671
5/10/19,4.03,67.15431016
5/9/19,4.31,70.6053704
5/8/19,4.18,68.51022369
5/7/19,4.35,71.2844747
5/6/19,3.99,65.21178676
5/3/19,3.59,58.7607425
5/2/19,3.72,60.80170137
5/1/19,3.83,62.56578395
4/30/19,3.96,65.5599825
4/29/19,4.07,66.42738678
4/26/19,3.64,59.38091413
4/25/19,3.81,62.09755556
4/24/19,3.9,64.41770559
4/23/19,3.91,64.57944239
4/22/19,3.56,57.98247203
4/18/19,3.56,57.96496689
4/17/19,3.68,59.82071371
4/16/19,3.62,58.79489423
4/15/19,3.5,56.83548859
4/12/19,3.45,55.99432278
4/11/19,3.42,55.37240673
4/10/19,3.59,58.0710919
4/9/19,3.68,60.38470343
4/8/19,3.64,58.89540472
4/5/19,3.62,58.51003964
4/4/19,3.78,61.05490551
4/3/19,3.77,60.88991838
4/2/19,3.97,64.01991226
4/1/19,3.91,63.07031459
3/29/19,4.39,70.67429373
3/28/19,4.42,72.10852655
3/27/19,4.78,77.84756123
3/26/19,4.54,74.03387572
3/25/19,5.24,84.05634255
3/22/19,4.29,69.80140005
3/21/19,3.55,57.77070898
3/20/19,3.42,58.58255214
3/19/19,3.45,59.14029812
3/18/19,3.55,60.82525445
3/15/19,3.76,64.36012819
3/14/19,3.76,63.41223822
3/13/19,3.75,64.18387771
3/12/19,3.76,63.33348252
3/11/19,3.69,62.15738817
3/8/19,3.62,61.81623452
3/7/19,3.71,62.40312029
3/6/19,3.64,62.07141403
3/5/19,3.72,63.3917349
3/4/19,3.86,64.85560052
3/1/19,3.88,65.18439451
2/28/19,3.86,64.75629834
2/27/19,3.89,65.16409357
2/26/19,3.69,61.79466911
2/25/19,3.58,59.89035917
2/22/19,3.55,59.39883445
2/21/19,3.61,61.21654102
2/20/19,3.47,58.73158035
2/19/19,3.64,60.73059902
2/15/19,3.42,57.0702936
2/14/19,3.62,60.29691046
2/13/19,3.6,59.95361789
2/12/19,3.72,62.79832443
2/11/19,3.68,61.18554154
2/8/19,3.64,60.52642818
2/7/19,3.66,60.80840346
2/6/19,3.6,60.56856911
2/5/19,3.64,60.40221772
2/4/19,3.73,61.88540219
2/1/19,3.66,60.66300613
1/31/19,3.83,63.36797494
1/30/19,3.79,62.65529003
1/29/19,3.92,64.84730005
1/28/19,3.87,64.92113953
1/25/19,3.8,62.89297754
1/24/19,4.07,67.2164165
1/23/19,4.1,67.60916437
1/22/19,4.25,70.17213082
1/18/19,3.84,63.36824288
1/17/19,4.02,66.19078425
1/16/19,3.92,65.33904076
1/15/19,3.97,65.29394714
1/14/19,4.05,66.5192084
1/11/19,4.02,66.94861804
1/10/19,4.16,68.30965863
1/9/19,4.29,70.28171041
1/8/19,4.42,73.50621526
1/7/19,4.48,73.45436415
1/4/19,4.63,75.85213299
1/3/19,5.04,82.27574677
1/2/19,4.39,72.50115254
12/31/18,4.58,74.80843134
12/28/18,4.55,74.20054565
12/27/18,4.57,75.66825589
12/26/18,4.41,71.9898877
12/24/18,4.91,81.05405683
12/21/18,4.89,79.65223591
12/20/18,4.31,70.17628223
12/19/18,3.83,64.55127412
12/18/18,4.11,69.28867591
12/17/18,4.04,68.14746063
12/14/18,3.66,61.71247281
12/13/18,3.81,63.110141
12/12/18,4.01,66.42894823
12/11/18,4.29,72.16477934
12/10/18,4.38,73.66170588
12/7/18,4.35,73.07529516
12/6/18,4.23,71.09147538
12/4/18,3.99,65.81782383
12/3/18,3.76,61.96433106
11/30/18,3.88,64.96375436
11/29/18,3.85,63.42481354
11/28/18,3.83,63.13387593
11/27/18,3.89,64.06898679
11/26/18,3.94,64.78317473
11/23/18,4.01,65.90295824
11/21/18,4.32,70.99480389
11/20/18,4.29,70.4997059
11/19/18,4.37,71.7387256
11/16/18,4.21,68.99611059
11/15/18,4.07,66.66356991
11/14/18,4.17,68.33073288
11/13/18,4.08,67.92264986
11/9/18,3.82,62.51913283
11/8/18,4.01,65.58371926
11/7/18,4.01,66.74537703
11/6/18,4.66,76.18360932
11/5/18,4.43,72.32966812
11/2/18,4.58,74.72704652
11/1/18,4.34,70.64020889
10/31/18,4.41,71.74133702
10/30/18,4.64,76.84153285
10/29/18,4.67,75.946087
10/26/18,4.69,77.49473422
10/25/18,4.28,69.39728377
10/24/18,4.69,76.00021116
10/23/18,4.16,67.52443113
10/22/18,3.93,64.86217657
10/19/18,3.74,60.64343366
10/18/18,3.78,61.2442571
10/17/18,3.67,59.51760821
10/16/18,3.71,60.06937267
10/15/18,3.89,62.88659161
10/12/18,3.93,63.6292761
10/11/18,4.16,67.23685338
10/10/18,4.42,71.04793283
10/9/18,4.1,66.15897054
10/5/18,4.21,67.94274764
10/4/18,4.14,67.7375397
10/3/18,3.87,62.37166149
10/2/18,3.46,56.57139718
10/1/18,3.47,55.75380132
9/28/18,3.34,54.54806498
9/27/18,3.33,54.27498803
9/26/18,3.45,55.2387441
9/25/18,3.71,59.44922012
9/24/18,3.62,58.99016547
9/21/18,3.41,55.48997782
9/20/18,3.5,56.84984071
9/19/18,3.54,59.05482327
9/18/18,3.37,56.26367101
9/17/18,3.27,54.46241492
9/14/18,3.16,52.67709814
9/13/18,3.33,55.42650536
9/12/18,3.42,56.87265198
9/11/18,3.52,58.51465152
9/10/18,3.6,59.77084788
9/7/18,3.58,59.42436013
9/6/18,3.72,61.61617914
9/5/18,3.72,61.62737466
9/4/18,3.81,63.07337429
8/31/18,3.65,60.41967763
8/30/18,3.74,61.76204447
8/29/18,3.58,59.13113508
8/28/18,3.69,60.90217809
8/27/18,3.58,59.03678751
8/24/18,3.51,57.79841299
8/23/18,3.72,61.26972544
8/22/18,3.8,62.5101765
8/21/18,3.73,61.27907903
8/20/18,3.97,65.24331208
8/17/18,3.87,63.56345695
8/16/18,3.88,63.67115617
8/15/18,3.99,65.50936685
8/14/18,3.86,63.33728867
8/13/18,4.15,68.06413944
8/10/18,3.94,64.64356602
8/9/18,3.58,58.58589455
8/8/18,3.63,59.40422648
8/7/18,3.65,59.72787333
8/6/18,3.68,60.17863331
8/3/18,3.69,60.31043787
8/2/18,3.78,61.74291856
8/1/18,3.79,61.89459154
7/31/18,3.65,59.55902618
7/30/18,3.97,64.75572177
7/27/18,3.74,60.92874226
7/26/18,3.91,63.66471392
7/25/18,3.92,63.96030757
7/24/18,3.94,64.07518325
7/23/18,4.09,66.44686842
7/20/18,3.76,61.05118685
7/19/18,3.65,59.15895571
7/18/18,3.62,58.67250786
7/17/18,3.65,59.1341399
7/16/18,3.76,60.89107725
7/13/18,3.63,58.7305116
7/12/18,3.69,59.62308941
7/11/18,3.86,62.40400507
7/10/18,3.79,61.12381626
7/9/18,3.77,60.85342788
7/6/18,3.71,59.82900314
7/5/18,3.87,62.306497
7/3/18,3.87,62.29026608
7/2/18,3.79,61.01634306
6/29/18,3.72,59.8825207
6/28/18,3.92,62.92619109
6/27/18,3.98,63.89167423
6/26/18,3.79,60.84233329
6/25/18,4.01,64.38890896
6/22/18,3.76,60.31474064
6/21/18,4.01,64.25852955
