Date,Close
1/2/03,9.06
1/3/03,8.69
1/6/03,8.71
1/7/03,8.15
1/8/03,7.85
1/9/03,8.19
1/10/03,8
1/13/03,8.06
1/14/03,7.79
1/15/03,7.71
1/16/03,7.77
1/17/03,7.57
1/21/03,7.69
1/22/03,7.31
1/23/03,7.48
1/24/03,7.64
1/27/03,8.41
1/28/03,8.4
1/29/03,8.29
1/30/03,8.45
1/31/03,7.95
2/3/03,8.38
2/4/03,8.32
2/5/03,8.47
2/6/03,8.29
2/7/03,8.3
2/10/03,8.61
2/11/03,8.31
2/12/03,8.36
2/13/03,8.79
2/14/03,8.89
2/18/03,8.83
2/19/03,8.53
2/20/03,8.57
2/21/03,8.23
2/24/03,8.08
2/25/03,8.01
2/26/03,8.05
2/27/03,8.05
2/28/03,8.26
3/3/03,8.01
3/4/03,8
3/5/03,7.94
3/6/03,8
3/7/03,8.05
3/10/03,8.34
3/11/03,8.06
3/12/03,8.1
3/13/03,8.4
3/14/03,8.27
3/17/03,8.81
3/18/03,9.03
3/19/03,9.93
3/20/03,9.68
3/21/03,9.68
3/24/03,8.82
3/25/03,8.48
3/26/03,8.29
3/27/03,8.13
3/28/03,7.84
3/31/03,7.98
4/1/03,7.85
4/2/03,8.24
4/3/03,8.39
4/4/03,8.04
4/7/03,8.29
4/8/03,7.79
4/9/03,7.51
4/10/03,7.5
4/11/03,7.44
4/14/03,7.62
4/15/03,7.18
4/16/03,6.92
4/17/03,6.94
4/21/03,7.2
4/22/03,7.09
4/23/03,6.93
4/24/03,6.86
4/25/03,6.62
4/28/03,6.72
4/29/03,6.81
4/30/03,6.79
5/1/03,6.66
5/2/03,6.67
5/5/03,6.7
5/6/03,6.62
5/7/03,6.41
5/8/03,6.33
5/9/03,6.18
5/12/03,6.66
5/13/03,6.54
5/14/03,6.62
5/15/03,6.7
5/16/03,6.79
5/19/03,7.22
5/20/03,7.88
5/21/03,7.89
5/22/03,7.29
5/23/03,7.16
5/27/03,7.38
5/28/03,7.33
5/29/03,7.11
5/30/03,7.51
6/2/03,7.6
6/3/03,7.51
6/4/03,7.65
6/5/03,8.03
6/6/03,7.51
6/9/03,7.64
6/10/03,7.82
6/11/03,8.03
6/12/03,7.54
6/13/03,7.69
6/16/03,8.29
6/17/03,8.27
6/18/03,8.73
6/19/03,8.81
6/20/03,8.17
6/23/03,8.22
6/24/03,8.05
6/25/03,7.97
6/26/03,7.7
6/27/03,7.78
6/30/03,7.58
7/1/03,7.3
7/2/03,7.45
7/3/03,7.85
7/7/03,7.68
7/8/03,7.66
7/9/03,7.64
7/10/03,7.65
7/11/03,7.29
7/14/03,7.76
7/15/03,8.05
7/16/03,8.08
7/17/03,8.14
7/18/03,7.75
7/21/03,8.92
7/22/03,9.29
7/23/03,8.88
7/24/03,8.98
7/25/03,9.02
7/28/03,10.14
7/29/03,11.02
7/30/03,11.26
7/31/03,12.44
8/1/03,11.59
8/4/03,11.44
8/5/03,11.12
8/6/03,10.8
8/7/03,9.75
8/8/03,9.9
8/11/03,10.84
8/12/03,10.39
8/13/03,11.75
8/14/03,12.23
8/15/03,11.64
8/18/03,11.47
8/19/03,11.03
8/20/03,11.91
8/21/03,12.77
8/22/03,11.99
8/25/03,12.21
8/26/03,11.51
8/27/03,11.24
8/28/03,10.75
8/29/03,10.27
9/2/03,11.53
9/3/03,11.04
9/4/03,10.63
9/5/03,10.06
9/8/03,10.23
9/9/03,10.65
9/10/03,9.59
9/11/03,9.99
9/12/03,9.98
9/15/03,10.12
9/16/03,10.09
9/17/03,9.58
9/18/03,9.97
9/19/03,10.05
9/22/03,10.66
9/23/03,10.4
9/24/03,10.03
9/25/03,9.97
9/26/03,9.37
9/29/03,9.51
9/30/03,9.57
10/1/03,9.57
10/2/03,9.88
10/3/03,10.53
10/6/03,9.96
10/7/03,9.95
10/8/03,9.69
10/9/03,9.67
10/14/03,10.23
10/15/03,10.27
10/16/03,10.41
10/17/03,10.21
10/20/03,10.41
10/21/03,9.89
10/22/03,9.51
10/23/03,9.72
10/24/03,9.45
10/27/03,9.77
10/28/03,9.65
10/29/03,9.38
10/30/03,9.81
10/31/03,9.41
11/3/03,9.89
11/4/03,9.58
11/5/03,9.76
11/6/03,9.91
11/7/03,9.48
11/12/03,9.39
11/13/03,9.11
11/14/03,9.16
11/17/03,9.41
11/18/03,9.24
11/19/03,9.27
11/20/03,8.82
11/21/03,8.43
11/24/03,8.51
11/25/03,8.17
11/26/03,8.27
11/28/03,8.65
12/1/03,8.98
12/2/03,9.16
12/3/03,9.13
12/4/03,9.46
12/5/03,9.15
12/8/03,9.04
12/9/03,9.15
12/10/03,8.74
12/11/03,8.46
12/12/03,8.55
12/15/03,8.75
12/16/03,8.86
12/17/03,8.42
12/18/03,8.15
12/19/03,8.43
12/22/03,9.04
12/23/03,9.13
12/24/03,8.67
12/26/03,8.65
12/29/03,9.11
12/30/03,9.11
12/31/03,9.21
1/2/04,9.2
1/5/04,9.02
1/6/04,8.39
1/7/04,8.21
1/8/04,8.54
1/9/04,7.87
1/12/04,8.02
1/13/04,7.93
1/14/04,8.2
1/15/04,7.88
1/16/04,8.25
1/20/04,8.54
1/21/04,8.03
1/22/04,7.94
1/23/04,8.26
1/26/04,8.97
